accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
66	0.8294	0.6123	0.3583	0.7950	0.1795	0.8922	17.0000	0.0774	826.0000	88.0000	0.1065	852.0000
67	0.8374	0.6143	0.3546	0.7697	0.1767	0.9020	17.0000	0.0593	852.0000	83.0000	0.0974	871.0000
68	0.8397	0.6180	0.3600	0.7413	0.1780	0.8888	17.1000	0.0693	861.0000	92.0000	0.1069	874.0000
69	0.8151	0.6102	0.3498	0.7560	0.1723	0.8734	17.0000	0.0784	909.0000	92.0000	0.1012	914.0000
70	0.7967	0.6205	0.3596	0.7345	0.1554	0.8754	17.0000	0.0759	858.0000	92.0000	0.1072	880.0000
71	0.8163	0.6102	0.3514	0.7607	0.1627	0.8841	16.9000	0.0702	793.0000	88.0000	0.1110	826.0000
72	0.8498	0.6160	0.3480	0.7885	0.1685	0.8871	17.0000	0.0692	806.0000	82.0000	0.1017	835.0000
73	0.8464	0.6143	0.3547	0.7499	0.1626	0.8725	16.9000	0.0727	898.0000	99.0000	0.1102	907.0000
74	0.8298	0.6222	0.3617	0.7683	0.1743	0.8772	16.9000	0.0762	867.0000	90.0000	0.1038	894.0000
75	0.8251	0.6234	0.3555	0.7817	0.1814	0.8938	16.8000	0.0687	883.0000	85.0000	0.0963	912.0000
76	0.8294	0.6102	0.3501	0.7588	0.1751	0.8799	17.0000	0.0700	852.0000	89.0000	0.1045	872.0000
77	0.8394	0.6230	0.3568	0.7590	0.1831	0.8909	16.9000	0.0631	888.0000	82.0000	0.0923	920.0000
78	0.8271	0.6135	0.3565	0.7384	0.1694	0.8788	17.0000	0.0803	848.0000	90.0000	0.1061	851.0000
79	0.8345	0.6168	0.3598	0.7734	0.1822	0.8982	17.0000	0.0746	828.0000	78.0000	0.0942	850.0000
80	0.8140	0.6073	0.3493	0.7218	0.1489	0.8611	17.2000	0.0784	830.0000	96.0000	0.1157	837.0000
81	0.8307	0.6321	0.3683	0.7680	0.1947	0.8936	17.0000	0.0661	878.0000	88.0000	0.1002	904.0000
82	0.8274	0.6213	0.3487	0.7571	0.1808	0.8931	16.9000	0.0652	852.0000	78.0000	0.0915	877.0000
83	0.8325	0.6152	0.3422	0.7591	0.1643	0.8836	16.9000	0.0610	870.0000	84.0000	0.0966	892.0000
84	0.8331	0.6123	0.3583	0.7520	0.1789	0.8897	17.0000	0.0761	936.0000	89.0000	0.0951	946.0000
