accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
22	0.3934	0.3628	0.1672	0.8685	0.0255	0.6277	33.7500	0.3179	2.6595	103.0000	0.3219	327.0000	0.2210	326.0000	1475.0000
23	0.3318	0.3628	0.1818	0.8437	0.0272	0.6264	34.3750	0.3211	2.4643	121.0000	0.3071	402.0000	0.2658	392.0000	1475.0000
24	0.3218	0.3606	0.1702	0.8667	0.0291	0.6332	35.1250	0.3064	2.7706	99.0000	0.3000	337.0000	0.2217	327.0000	1475.0000
25	0.3563	0.3678	0.1761	0.8646	0.0288	0.6215	34.0000	0.3010	2.6614	117.0000	0.3296	357.0000	0.2163	319.0000	1475.0000
26	0.3461	0.3540	0.1724	0.8902	0.0282	0.6344	34.3750	0.2885	2.5106	99.0000	0.2789	362.0000	0.2231	329.0000	1475.0000
27	0.3338	0.3678	0.1656	0.8404	0.0264	0.6172	34.6250	0.3214	2.5953	111.0000	0.3199	356.0000	0.2312	341.0000	1475.0000
28	0.3412	0.3711	0.1696	0.8624	0.0261	0.6483	34.5000	0.2867	2.6740	107.0000	0.3057	353.0000	0.2163	319.0000	1475.0000
29	0.3642	0.3595	0.1562	0.8575	0.0258	0.5843	34.2500	0.3507	2.5244	107.0000	0.3292	328.0000	0.2224	328.0000	1475.0000
30	0.3219	0.3661	0.1846	0.8595	0.0288	0.6284	34.6250	0.3230	2.6308	112.0000	0.3102	368.0000	0.2332	344.0000	1475.0000
31	0.3432	0.3590	0.1529	0.8828	0.0235	0.6084	33.5000	0.3212	2.6782	104.0000	0.3366	317.0000	0.1959	289.0000	1475.0000
32	0.3576	0.3634	0.1701	0.8712	0.0255	0.6334	34.2500	0.3164	2.6603	106.0000	0.3232	331.0000	0.2115	312.0000	1475.0000
33	0.3234	0.3683	0.1624	0.8658	0.0254	0.6074	34.5000	0.3234	2.6285	110.0000	0.3303	335.0000	0.2190	323.0000	1475.0000
34	0.3335	0.3672	0.1772	0.8722	0.0274	0.6335	34.5000	0.3120	2.7156	102.0000	0.3082	335.0000	0.2264	334.0000	1475.0000
35	0.3850	0.3667	0.1592	0.8534	0.0271	0.6254	34.2500	0.2973	2.5865	104.0000	0.2980	359.0000	0.2312	341.0000	1475.0000
36	0.3446	0.3606	0.1770	0.8675	0.0276	0.6375	34.0000	0.3052	2.5714	103.0000	0.2926	359.0000	0.2420	357.0000	1475.0000
37	0.3226	0.3799	0.1706	0.8621	0.0276	0.6464	34.3750	0.3025	2.7598	103.0000	0.2994	354.0000	0.2258	333.0000	1475.0000
38	0.3612	0.3700	0.1875	0.8420	0.0318	0.6426	33.8750	0.3033	2.7049	121.0000	0.3143	393.0000	0.2481	366.0000	1475.0000
39	0.3448	0.3628	0.1576	0.8734	0.0265	0.6225	34.3750	0.3202	2.5649	103.0000	0.3038	343.0000	0.2088	308.0000	1475.0000
40	0.3635	0.3573	0.1625	0.8697	0.0246	0.6289	33.8750	0.3121	2.6288	105.0000	0.3241	334.0000	0.2210	326.0000	1475.0000
41	0.3780	0.3683	0.1710	0.8507	0.0271	0.6451	33.8750	0.2821	2.5465	113.0000	0.3156	365.0000	0.2258	333.0000	1475.0000
42	0.3640	0.3755	0.1952	0.8452	0.0291	0.6264	33.6250	0.3031	2.6309	122.0000	0.3194	386.0000	0.2590	382.0000	1475.0000
43	0.3279	0.3617	0.1708	0.8528	0.0273	0.6135	34.1250	0.3440	2.6726	112.0000	0.3275	347.0000	0.2298	339.0000	1475.0000
44	0.3634	0.3672	0.1761	0.8688	0.0271	0.6208	34.6250	0.3069	2.7006	110.0000	0.3170	352.0000	0.2197	324.0000	1475.0000
45	0.3559	0.3590	0.1588	0.8635	0.0265	0.5889	33.6250	0.3281	2.5446	113.0000	0.3353	343.0000	0.2278	336.0000	1475.0000
46	0.3260	0.3733	0.1680	0.8605	0.0268	0.6047	34.1250	0.3174	2.7982	114.0000	0.3444	338.0000	0.2217	327.0000	1475.0000
47	0.3625	0.3645	0.1805	0.8800	0.0287	0.6508	34.3750	0.2962	2.6677	109.0000	0.3053	361.0000	0.2203	325.0000	1475.0000
48	0.3403	0.3639	0.1696	0.8572	0.0265	0.6354	34.5000	0.3046	2.6476	108.0000	0.3086	352.0000	0.2366	349.0000	1475.0000
49	0.3355	0.3689	0.1715	0.8799	0.0250	0.6380	34.0000	0.3078	2.7301	104.0000	0.3059	342.0000	0.2210	326.0000	1475.0000
50	0.3394	0.3705	0.1684	0.8901	0.0256	0.6290	34.5000	0.3154	2.8237	112.0000	0.3353	339.0000	0.2231	329.0000	1475.0000
51	0.3382	0.3507	0.1640	0.8450	0.0235	0.6289	34.1250	0.3092	2.4471	113.0000	0.3343	346.0000	0.2244	331.0000	1475.0000
52	0.3485	0.3656	0.1727	0.8827	0.0275	0.6044	34.5000	0.3607	2.6474	112.0000	0.3556	318.0000	0.2115	312.0000	1475.0000
53	0.3564	0.3678	0.1694	0.8654	0.0284	0.6311	34.6250	0.3095	2.6605	110.0000	0.3030	370.0000	0.2576	380.0000	1475.0000
54	0.3442	0.3716	0.1715	0.8813	0.0275	0.6315	34.1250	0.3076	2.6997	104.0000	0.3114	338.0000	0.2190	323.0000	1475.0000
55	0.3702	0.3678	0.1605	0.8623	0.0255	0.6216	35.0000	0.2873	2.6305	110.0000	0.3022	366.0000	0.2000	295.0000	1475.0000
56	0.3877	0.3755	0.1785	0.8707	0.0288	0.6341	34.3750	0.3071	2.6706	114.0000	0.3048	383.0000	0.2325	343.0000	1475.0000
57	0.3954	0.3689	0.1778	0.8687	0.0276	0.6863	34.0000	0.2476	2.7818	97.0000	0.2845	349.0000	0.2237	330.0000	1475.0000
58	0.3873	0.3694	0.1649	0.8648	0.0256	0.6084	34.2500	0.3279	2.7771	109.0000	0.3215	344.0000	0.2190	323.0000	1475.0000
59	0.3623	0.3667	0.1641	0.8824	0.0280	0.6276	34.0000	0.3297	2.6413	102.0000	0.3100	335.0000	0.2231	329.0000	1475.0000
60	0.3173	0.3551	0.1516	0.8602	0.0221	0.5901	35.0000	0.3156	2.5616	113.0000	0.3610	320.0000	0.1980	292.0000	1475.0000
61	0.3317	0.3700	0.1730	0.8509	0.0287	0.6129	34.0000	0.3239	2.5106	108.0000	0.2903	378.0000	0.2563	378.0000	1475.0000
62	0.3729	0.3634	0.1549	0.8637	0.0250	0.6075	34.6250	0.3157	2.6571	107.0000	0.3323	332.0000	0.2136	315.0000	1475.0000
63	0.3312	0.3733	0.1716	0.8480	0.0259	0.6262	34.0000	0.2984	2.7248	120.0000	0.3333	367.0000	0.2217	327.0000	1475.0000
64	0.3892	0.3672	0.1602	0.8511	0.0251	0.6634	34.0000	0.2879	2.7459	101.0000	0.3117	328.0000	0.2054	303.0000	1475.0000
65	0.3148	0.3700	0.1746	0.8591	0.0258	0.6118	34.1250	0.3115	3.0000	109.0000	0.3406	324.0000	0.2183	322.0000	1475.0000
66	0.3459	0.3491	0.1685	0.8704	0.0276	0.6219	33.2500	0.3505	2.5127	109.0000	0.3225	345.0000	0.2407	355.0000	1475.0000
67	0.3629	0.3689	0.1677	0.8469	0.0250	0.6177	34.3750	0.2961	2.6204	115.0000	0.3363	344.0000	0.2197	324.0000	1475.0000
68	0.3251	0.3661	0.1725	0.8694	0.0253	0.6503	34.8750	0.3022	2.5714	112.0000	0.3128	361.0000	0.2515	371.0000	1475.0000
69	0.4291	0.3705	0.1748	0.8521	0.0335	0.6734	34.1250	0.2726	2.7200	99.0000	0.2668	373.0000	0.2373	350.0000	1475.0000
70	0.3261	0.3650	0.1664	0.8779	0.0262	0.5738	34.5000	0.3682	2.5570	119.0000	0.3521	345.0000	0.2081	307.0000	1475.0000
71	0.3450	0.3639	0.1664	0.8772	0.0247	0.6389	35.0000	0.2923	2.5248	103.0000	0.2960	358.0000	0.2325	343.0000	1475.0000
72	0.3960	0.3694	0.1734	0.8753	0.0297	0.6607	34.1250	0.2790	2.9567	96.0000	0.2909	336.0000	0.2190	323.0000	1475.0000
73	0.3649	0.3678	0.1716	0.8735	0.0251	0.5800	34.2500	0.3306	2.8497	125.0000	0.3676	348.0000	0.2075	306.0000	1475.0000
74	0.3746	0.3645	0.1704	0.8623	0.0263	0.6709	33.8750	0.2818	2.5545	101.0000	0.2829	368.0000	0.2237	330.0000	1475.0000
75	0.3880	0.3650	0.1654	0.8773	0.0267	0.6628	33.7500	0.2635	2.5271	100.0000	0.2874	356.0000	0.2251	332.0000	1475.0000
76	0.3692	0.3727	0.1704	0.8648	0.0298	0.6793	34.8750	0.2578	2.5380	95.0000	0.2691	361.0000	0.2407	355.0000	1475.0000
77	0.3750	0.3672	0.1873	0.8668	0.0303	0.6184	34.0000	0.3006	2.7718	113.0000	0.3192	359.0000	0.2258	333.0000	1475.0000
78	0.3190	0.3782	0.1696	0.8595	0.0262	0.5857	34.6250	0.3522	2.8167	110.0000	0.3274	342.0000	0.2108	311.0000	1475.0000
79	0.3650	0.3716	0.1837	0.8515	0.0292	0.6536	34.3750	0.2851	2.6192	107.0000	0.2846	385.0000	0.2475	365.0000	1475.0000
80	0.3572	0.3661	0.1699	0.8640	0.0282	0.6553	34.0000	0.2700	2.7533	103.0000	0.3003	351.0000	0.2061	304.0000	1475.0000
81	0.3673	0.3617	0.1815	0.8521	0.0273	0.6671	34.0000	0.2696	2.5173	110.0000	0.2792	406.0000	0.2542	375.0000	1475.0000
82	0.3527	0.3705	0.1767	0.8455	0.0291	0.6483	34.2500	0.2946	2.5124	103.0000	0.2830	368.0000	0.2461	363.0000	1475.0000
83	0.3628	0.3617	0.1645	0.8455	0.0257	0.5960	34.1250	0.3374	2.5743	115.0000	0.3382	348.0000	0.2325	343.0000	1475.0000
84	0.3392	0.3601	0.1395	0.8661	0.0232	0.6182	33.6250	0.2884	2.6996	96.0000	0.3097	312.0000	0.1783	263.0000	1475.0000
85	0.3901	0.3672	0.1736	0.8734	0.0282	0.6526	33.5000	0.2955	2.7373	101.0000	0.2962	344.0000	0.2271	335.0000	1475.0000
86	0.3690	0.3689	0.1782	0.8458	0.0274	0.6373	34.1250	0.3003	2.6310	107.0000	0.3014	358.0000	0.2407	355.0000	1475.0000
87	0.3479	0.3551	0.1703	0.8659	0.0259	0.6263	33.8750	0.3113	2.4900	105.0000	0.3144	337.0000	0.2380	351.0000	1475.0000
88	0.3697	0.3656	0.1944	0.8418	0.0302	0.6674	34.2500	0.2383	2.6421	109.0000	0.2946	379.0000	0.2481	366.0000	1475.0000
89	0.3991	0.3590	0.1663	0.8723	0.0264	0.6271	34.8750	0.3075	2.7835	106.0000	0.3333	321.0000	0.1973	291.0000	1475.0000
90	0.3832	0.3700	0.1785	0.8727	0.0280	0.6557	34.1250	0.2962	2.6218	108.0000	0.3051	362.0000	0.2420	357.0000	1475.0000
91	0.3133	0.3623	0.1682	0.8657	0.0268	0.6182	35.0000	0.3195	2.6171	110.0000	0.3235	346.0000	0.2142	316.0000	1475.0000
92	0.3922	0.3628	0.1826	0.8547	0.0320	0.6187	34.3750	0.3067	2.7009	114.0000	0.3314	350.0000	0.2176	321.0000	1475.0000
93	0.3740	0.3623	0.1608	0.8899	0.0277	0.6119	34.7500	0.3313	2.5556	106.0000	0.3136	345.0000	0.2136	315.0000	1475.0000
94	0.3577	0.3755	0.1667	0.8698	0.0266	0.6160	34.0000	0.3245	2.8250	100.0000	0.3067	332.0000	0.2169	320.0000	1475.0000
95	0.3654	0.3722	0.1825	0.8597	0.0308	0.6422	34.1250	0.3023	2.5815	110.0000	0.2949	381.0000	0.2495	368.0000	1475.0000
96	0.3744	0.3733	0.1680	0.8508	0.0247	0.5883	34.0000	0.3463	2.8879	108.0000	0.3495	311.0000	0.2237	330.0000	1475.0000
97	0.3806	0.3579	0.1720	0.8655	0.0261	0.6379	34.2500	0.3003	2.6495	107.0000	0.3242	338.0000	0.2108	311.0000	1475.0000
98	0.3502	0.3634	0.1605	0.8462	0.0254	0.6272	34.1250	0.3179	2.6111	108.0000	0.3176	350.0000	0.2197	324.0000	1475.0000
99	0.3855	0.3612	0.1800	0.8708	0.0277	0.6546	34.5000	0.2656	2.5983	113.0000	0.3156	368.0000	0.2380	351.0000	1475.0000
100	0.3672	0.3683	0.1677	0.8634	0.0264	0.6526	33.3750	0.2914	2.6607	99.0000	0.2912	345.0000	0.2278	336.0000	1475.0000
101	0.3520	0.3661	0.1763	0.8487	0.0273	0.6007	34.0000	0.3130	2.5385	111.0000	0.3109	365.0000	0.2468	364.0000	1475.0000
102	0.3408	0.3628	0.1667	0.8793	0.0273	0.6200	33.8750	0.3237	2.7296	104.0000	0.3333	318.0000	0.2156	318.0000	1475.0000
103	0.3266	0.3562	0.1497	0.8544	0.0216	0.6064	34.1250	0.3166	2.5690	104.0000	0.3410	314.0000	0.1966	290.0000	1475.0000
104	0.3571	0.3551	0.1653	0.8388	0.0284	0.5977	34.5000	0.3499	2.5483	112.0000	0.3191	355.0000	0.2176	321.0000	1475.0000
105	0.3422	0.3678	0.1669	0.8717	0.0261	0.6254	33.1250	0.2903	2.8498	102.0000	0.3063	337.0000	0.1986	293.0000	1475.0000
106	0.3894	0.3623	0.1473	0.8785	0.0230	0.6178	34.3750	0.3180	2.8192	97.0000	0.3428	288.0000	0.1837	271.0000	1475.0000
107	0.3068	0.3645	0.1529	0.8843	0.0277	0.5380	34.0000	0.3665	2.6842	113.0000	0.3779	303.0000	0.1932	285.0000	1475.0000
108	0.3380	0.3634	0.1610	0.8605	0.0248	0.6321	34.2500	0.3084	2.4631	109.0000	0.3169	351.0000	0.2298	339.0000	1475.0000
109	0.3891	0.3716	0.1717	0.8387	0.0256	0.6374	34.5000	0.2736	2.8531	114.0000	0.3343	352.0000	0.2169	320.0000	1475.0000
110	0.3447	0.3557	0.1510	0.8862	0.0249	0.6018	34.6250	0.3565	2.5288	98.0000	0.3203	312.0000	0.2000	295.0000	1475.0000
111	0.3251	0.3639	0.1768	0.8593	0.0292	0.6700	33.7500	0.2646	2.5727	106.0000	0.2842	381.0000	0.2332	344.0000	1475.0000
112	0.3879	0.3738	0.1860	0.8603	0.0320	0.6792	34.0000	0.2578	2.6734	102.0000	0.2787	372.0000	0.2678	395.0000	1475.0000
113	0.3725	0.3623	0.1775	0.8643	0.0274	0.6469	34.0000	0.2860	2.6657	111.0000	0.3109	362.0000	0.2312	341.0000	1475.0000
114	0.3891	0.3573	0.1566	0.8598	0.0264	0.6061	34.1250	0.3261	2.6355	103.0000	0.3239	322.0000	0.2176	321.0000	1475.0000
115	0.3490	0.3601	0.1724	0.8711	0.0268	0.6579	33.6250	0.2815	2.5569	101.0000	0.2902	356.0000	0.2203	325.0000	1475.0000
116	0.3509	0.3645	0.1592	0.8649	0.0253	0.6374	34.0000	0.2944	2.5521	99.0000	0.3037	333.0000	0.2210	326.0000	1475.0000
117	0.3528	0.3634	0.1639	0.8673	0.0265	0.6553	33.3750	0.2874	2.5032	100.0000	0.2933	346.0000	0.2102	310.0000	1475.0000
118	0.4127	0.3661	0.1740	0.8546	0.0264	0.6569	34.3750	0.2958	2.6879	98.0000	0.2952	336.0000	0.2237	330.0000	1475.0000
119	0.3584	0.3579	0.1734	0.8793	0.0309	0.6470	34.6250	0.3051	2.7110	106.0000	0.3081	350.0000	0.2088	308.0000	1475.0000
120	0.3704	0.3645	0.1702	0.8665	0.0294	0.6309	33.8750	0.2978	2.7138	107.0000	0.3120	347.0000	0.2203	325.0000	1475.0000
121	0.3870	0.3661	0.1595	0.8646	0.0255	0.6257	34.0000	0.3211	2.6349	104.0000	0.3210	328.0000	0.2136	315.0000	1475.0000
122	0.3533	0.3694	0.1709	0.8683	0.0278	0.6392	33.8750	0.3200	2.6790	105.0000	0.3000	355.0000	0.2386	352.0000	1475.0000
123	0.3875	0.3722	0.1726	0.8656	0.0273	0.6584	33.8750	0.2563	2.7209	102.0000	0.3009	341.0000	0.2210	326.0000	1475.0000
124	0.3869	0.3656	0.1834	0.8452	0.0292	0.6046	35.1250	0.3192	2.6554	117.0000	0.3214	370.0000	0.2400	354.0000	1475.0000
125	0.3277	0.3612	0.1502	0.8627	0.0257	0.6013	33.5000	0.3484	2.6058	103.0000	0.3160	330.0000	0.2115	312.0000	1475.0000
126	0.3194	0.3612	0.1663	0.8719	0.0267	0.6009	33.6250	0.3200	2.7938	108.0000	0.3293	335.0000	0.1973	291.0000	1475.0000
127	0.3707	0.3661	0.1816	0.8606	0.0264	0.6283	34.2500	0.2917	2.7373	109.0000	0.3011	366.0000	0.2271	335.0000	1475.0000
128	0.3299	0.3694	0.1873	0.8889	0.0280	0.6625	34.5000	0.2868	2.6757	112.0000	0.3003	379.0000	0.2508	370.0000	1475.0000
129	0.3353	0.3689	0.1888	0.8567	0.0277	0.6502	34.3750	0.3217	2.5628	119.0000	0.3067	400.0000	0.2590	382.0000	1475.0000
130	0.3275	0.3727	0.1815	0.8689	0.0276	0.6473	34.1250	0.2640	2.5989	108.0000	0.2935	374.0000	0.2366	349.0000	1475.0000
131	0.3295	0.3623	0.1615	0.8661	0.0259	0.6313	34.0000	0.3216	2.5747	106.0000	0.3064	351.0000	0.2359	348.0000	1475.0000
132	0.4020	0.3656	0.1742	0.8465	0.0293	0.6563	33.8750	0.2712	2.4879	101.0000	0.2782	374.0000	0.2529	373.0000	1475.0000
133	0.3765	0.3700	0.1699	0.8872	0.0259	0.6640	34.5000	0.2819	2.6988	98.0000	0.3141	316.0000	0.2183	322.0000	1475.0000
134	0.3298	0.3716	0.1661	0.8640	0.0263	0.6317	34.0000	0.3047	2.7599	112.0000	0.3384	340.0000	0.2231	329.0000	1475.0000
135	0.3793	0.3672	0.1778	0.8569	0.0295	0.6267	33.8750	0.2951	2.7633	109.0000	0.3003	368.0000	0.2292	338.0000	1475.0000
136	0.3409	0.3700	0.1694	0.8713	0.0244	0.6017	34.0000	0.3427	2.5946	107.0000	0.3344	330.0000	0.2258	333.0000	1475.0000
137	0.4109	0.3744	0.1994	0.8644	0.0321	0.6862	33.7500	0.2319	2.6704	112.0000	0.2759	414.0000	0.2427	358.0000	1475.0000
138	0.4203	0.3661	0.1824	0.8535	0.0314	0.6581	34.5000	0.2789	2.5671	105.0000	0.2861	374.0000	0.2678	395.0000	1475.0000
139	0.3535	0.3700	0.1775	0.8661	0.0284	0.6198	34.5000	0.3415	2.5495	108.0000	0.3068	361.0000	0.2468	364.0000	1475.0000
140	0.3418	0.3656	0.1664	0.8682	0.0259	0.6180	34.5000	0.3453	2.5872	103.0000	0.3003	350.0000	0.2332	344.0000	1475.0000
141	0.3929	0.3667	0.1675	0.8710	0.0302	0.6799	34.1250	0.2693	2.7180	99.0000	0.2938	341.0000	0.2332	344.0000	1475.0000
142	0.3943	0.3678	0.1673	0.8723	0.0288	0.6133	35.0000	0.3035	2.8790	106.0000	0.3354	320.0000	0.2129	314.0000	1475.0000
143	0.3811	0.3700	0.1824	0.8591	0.0285	0.6788	33.5000	0.2455	2.8049	109.0000	0.3019	366.0000	0.2224	328.0000	1475.0000
144	0.4135	0.3722	0.1831	0.8668	0.0309	0.6415	34.5000	0.2969	2.7322	106.0000	0.3090	348.0000	0.2380	351.0000	1475.0000
145	0.3659	0.3722	0.1781	0.8520	0.0299	0.6391	33.5000	0.3162	2.5873	108.0000	0.2798	392.0000	0.2563	378.0000	1475.0000
146	0.3343	0.3700	0.1738	0.8607	0.0269	0.6341	33.8750	0.2927	2.6367	117.0000	0.3441	344.0000	0.2034	300.0000	1475.0000
147	0.3418	0.3623	0.1869	0.8529	0.0286	0.6045	34.5000	0.3228	2.5000	114.0000	0.3115	375.0000	0.2508	370.0000	1475.0000
148	0.3876	0.3722	0.1755	0.8543	0.0282	0.6393	34.3750	0.2793	2.7291	102.0000	0.2833	367.0000	0.2353	347.0000	1475.0000
149	0.3912	0.3711	0.1674	0.8524	0.0294	0.6283	34.6250	0.3001	2.7075	107.0000	0.3075	354.0000	0.2271	335.0000	1475.0000
150	0.3254	0.3634	0.1735	0.8632	0.0258	0.5993	34.3750	0.3233	2.6636	114.0000	0.3383	345.0000	0.2197	324.0000	1475.0000
151	0.3620	0.3672	0.1725	0.8550	0.0275	0.6141	34.2500	0.3121	3.0282	106.0000	0.3232	336.0000	0.1925	284.0000	1475.0000
152	0.3339	0.3689	0.1633	0.8612	0.0237	0.5989	34.1250	0.3231	2.7649	108.0000	0.3407	322.0000	0.2047	302.0000	1475.0000
153	0.3273	0.3661	0.1791	0.8449	0.0283	0.6394	34.2500	0.3038	2.6006	112.0000	0.3019	374.0000	0.2359	348.0000	1475.0000
154	0.3253	0.3705	0.1638	0.8659	0.0233	0.6316	34.1250	0.2944	2.6647	102.0000	0.3119	338.0000	0.2285	337.0000	1475.0000
155	0.3675	0.3788	0.1741	0.8620	0.0271	0.6123	34.2500	0.3277	2.6806	114.0000	0.3175	363.0000	0.2271	335.0000	1475.0000
156	0.3385	0.3661	0.1794	0.8397	0.0271	0.6382	34.3750	0.3159	2.7040	106.0000	0.3109	348.0000	0.2359	348.0000	1475.0000
157	0.3295	0.3716	0.1668	0.8776	0.0242	0.6203	34.1250	0.3357	2.5843	114.0000	0.3202	364.0000	0.2251	332.0000	1475.0000
158	0.3058	0.3672	0.1653	0.8717	0.0245	0.5923	33.7500	0.3270	2.5014	117.0000	0.3314	360.0000	0.2339	345.0000	1475.0000
159	0.3140	0.3623	0.1672	0.8823	0.0253	0.6282	34.6250	0.3210	2.5854	104.0000	0.3171	334.0000	0.2142	316.0000	1475.0000
160	0.3123	0.3650	0.1831	0.8431	0.0261	0.6210	34.2500	0.2848	2.6189	115.0000	0.3142	376.0000	0.2508	370.0000	1475.0000
161	0.3234	0.3595	0.1710	0.8573	0.0277	0.5708	33.7500	0.3625	2.7130	110.0000	0.3313	343.0000	0.2339	345.0000	1475.0000
162	0.3938	0.3639	0.1765	0.8661	0.0324	0.6325	34.6250	0.3235	2.6258	109.0000	0.3254	339.0000	0.2210	326.0000	1475.0000
163	0.3656	0.3656	0.1716	0.8647	0.0264	0.6570	33.7500	0.2820	2.4472	106.0000	0.2912	372.0000	0.2441	360.0000	1475.0000
164	0.3665	0.3689	0.1681	0.8653	0.0264	0.6153	33.8750	0.3149	2.8039	108.0000	0.3323	330.0000	0.2108	311.0000	1475.0000
165	0.4097	0.3832	0.1832	0.8693	0.0284	0.6643	34.1250	0.2554	2.7196	107.0000	0.2964	368.0000	0.2563	378.0000	1475.0000
166	0.4132	0.3782	0.1991	0.8619	0.0300	0.6680	34.5000	0.2838	2.8991	108.0000	0.3000	366.0000	0.2353	347.0000	1475.0000
167	0.3368	0.3722	0.1728	0.8800	0.0282	0.6565	34.2500	0.2517	2.8098	104.0000	0.3123	339.0000	0.2210	326.0000	1475.0000
168	0.3795	0.3705	0.1869	0.8514	0.0321	0.6176	34.1250	0.3011	2.5632	116.0000	0.3037	387.0000	0.2468	364.0000	1475.0000
169	0.3296	0.3705	0.1662	0.8748	0.0252	0.6443	34.8750	0.2946	2.4868	108.0000	0.2983	369.0000	0.2312	341.0000	1475.0000
170	0.3822	0.3683	0.1757	0.8691	0.0294	0.6314	34.7500	0.2752	2.5534	113.0000	0.3054	375.0000	0.2414	356.0000	1475.0000
171	0.4170	0.3650	0.1490	0.8688	0.0259	0.6341	34.7500	0.2767	2.6399	102.0000	0.3129	333.0000	0.1939	286.0000	1475.0000
172	0.3633	0.3623	0.1735	0.8518	0.0285	0.6276	34.7500	0.3076	2.5779	110.0000	0.3056	370.0000	0.2393	353.0000	1475.0000
173	0.4029	0.3551	0.1660	0.8722	0.0241	0.6435	34.5000	0.2943	2.6013	103.0000	0.3140	331.0000	0.2041	301.0000	1475.0000
174	0.3253	0.3694	0.1755	0.8533	0.0264	0.5976	33.8750	0.3398	2.6023	110.0000	0.3179	353.0000	0.2353	347.0000	1475.0000
175	0.3293	0.3672	0.1728	0.8598	0.0272	0.6492	34.1250	0.3053	2.7099	105.0000	0.2958	366.0000	0.2407	355.0000	1475.0000
176	0.3798	0.3678	0.1818	0.8649	0.0284	0.6464	34.8750	0.2986	2.7619	109.0000	0.3150	349.0000	0.2278	336.0000	1475.0000
177	0.3346	0.3601	0.1659	0.8402	0.0252	0.6236	33.7500	0.3239	2.5194	106.0000	0.3155	344.0000	0.2271	335.0000	1475.0000
178	0.3497	0.3672	0.1778	0.8479	0.0258	0.6086	33.8750	0.3228	2.7756	110.0000	0.3293	338.0000	0.2386	352.0000	1475.0000
