accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
78	0.5102	0.5871	0.3688	0.8018	0.0848	0.7589	34.7500	0.1641	753.0000	168.0000	0.2231	755.0000
79	0.5193	0.5767	0.3558	0.7755	0.0814	0.7359	35.3750	0.1570	772.0000	177.0000	0.2293	777.0000
80	0.5289	0.5767	0.3568	0.8167	0.0841	0.7668	35.5000	0.1513	757.0000	167.0000	0.2206	759.0000
81	0.5121	0.5772	0.3598	0.8032	0.0827	0.7437	35.5000	0.1507	752.0000	175.0000	0.2327	758.0000
82	0.4979	0.5800	0.3509	0.7999	0.0791	0.7512	34.8750	0.1625	736.0000	168.0000	0.2283	741.0000
83	0.5686	0.5844	0.3543	0.8096	0.0857	0.7663	35.1250	0.1396	747.0000	167.0000	0.2236	750.0000
84	0.5566	0.5805	0.3494	0.8040	0.0879	0.7465	35.8750	0.1596	725.0000	169.0000	0.2331	728.0000
85	0.5480	0.5778	0.3548	0.8031	0.0827	0.7801	35.3750	0.1328	742.0000	159.0000	0.2143	746.0000
86	0.5367	0.5811	0.3505	0.8093	0.0904	0.7620	35.8750	0.1602	700.0000	178.0000	0.2543	702.0000
87	0.5242	0.5800	0.3523	0.8024	0.0761	0.7446	35.3750	0.1647	786.0000	171.0000	0.2176	793.0000
88	0.5389	0.5750	0.3481	0.7918	0.0780	0.7477	35.0000	0.1539	726.0000	173.0000	0.2383	728.0000
89	0.5132	0.5800	0.3599	0.8154	0.0839	0.7646	35.3750	0.1597	794.0000	172.0000	0.2166	799.0000
90	0.5404	0.5761	0.3624	0.7869	0.0823	0.7516	35.6250	0.1392	765.0000	178.0000	0.2327	768.0000
91	0.4923	0.5739	0.3518	0.7918	0.0781	0.7606	35.8750	0.1544	763.0000	174.0000	0.2280	770.0000
92	0.5075	0.5805	0.3517	0.7925	0.0829	0.7296	35.6250	0.1922	715.0000	184.0000	0.2573	718.0000
93	0.4923	0.5783	0.3522	0.8061	0.0816	0.7489	35.3750	0.1736	757.0000	170.0000	0.2246	760.0000
94	0.5236	0.5684	0.3557	0.7925	0.0824	0.7498	35.3750	0.1522	759.0000	171.0000	0.2253	761.0000
95	0.5373	0.5811	0.3484	0.8165	0.0806	0.7685	34.8750	0.1352	748.0000	166.0000	0.2219	752.0000
96	0.4904	0.5833	0.3640	0.7988	0.0822	0.7498	35.0000	0.1508	755.0000	170.0000	0.2252	757.0000
97	0.5116	0.5783	0.3572	0.8069	0.0809	0.7638	35.3750	0.1614	764.0000	164.0000	0.2147	769.0000
98	0.5189	0.5739	0.3584	0.8077	0.0818	0.7451	35.7500	0.1578	753.0000	175.0000	0.2324	758.0000
99	0.5107	0.5745	0.3495	0.8012	0.0751	0.7534	35.3750	0.1710	744.0000	169.0000	0.2272	752.0000
100	0.5330	0.5932	0.3560	0.8016	0.0869	0.7504	35.3750	0.1828	720.0000	175.0000	0.2431	725.0000
101	0.5235	0.5877	0.3717	0.8193	0.0848	0.7603	35.2500	0.1519	749.0000	173.0000	0.2310	755.0000
102	0.5467	0.5723	0.3458	0.8050	0.0831	0.7670	35.7500	0.1458	730.0000	168.0000	0.2301	732.0000
103	0.5391	0.5827	0.3593	0.7999	0.0832	0.7210	36.0000	0.1822	757.0000	190.0000	0.2510	759.0000
104	0.5361	0.5734	0.3576	0.8161	0.0772	0.7550	36.1250	0.1515	773.0000	165.0000	0.2135	779.0000
105	0.5343	0.5904	0.3627	0.8004	0.0855	0.7577	35.5000	0.1449	749.0000	174.0000	0.2323	752.0000
106	0.5206	0.5833	0.3587	0.7793	0.0820	0.7325	35.5000	0.1663	775.0000	179.0000	0.2310	780.0000
107	0.5553	0.5811	0.3591	0.8139	0.0796	0.7692	35.6250	0.1359	754.0000	167.0000	0.2215	760.0000
108	0.5269	0.5805	0.3524	0.8089	0.0915	0.7451	35.3750	0.1639	710.0000	178.0000	0.2507	713.0000
109	0.4935	0.5778	0.3534	0.8012	0.0824	0.7531	35.1250	0.1458	737.0000	173.0000	0.2347	739.0000
110	0.4871	0.5783	0.3605	0.7925	0.0814	0.7477	35.1250	0.1637	766.0000	179.0000	0.2337	773.0000
111	0.5204	0.5701	0.3503	0.7853	0.0845	0.7376	35.1250	0.1589	747.0000	174.0000	0.2329	751.0000
112	0.5218	0.5860	0.3619	0.7972	0.0830	0.7628	35.0000	0.1546	787.0000	175.0000	0.2224	790.0000
113	0.5163	0.5695	0.3439	0.7974	0.0795	0.7369	35.5000	0.1632	706.0000	175.0000	0.2479	710.0000
114	0.5201	0.5772	0.3590	0.7990	0.0820	0.7557	35.0000	0.1494	778.0000	165.0000	0.2121	782.0000
115	0.5512	0.5734	0.3557	0.8032	0.0835	0.7546	35.7500	0.1538	744.0000	175.0000	0.2352	747.0000
116	0.5051	0.5712	0.3542	0.7932	0.0836	0.7550	35.7500	0.1589	738.0000	172.0000	0.2331	741.0000
117	0.5479	0.5827	0.3576	0.8249	0.0880	0.7605	35.2500	0.1633	736.0000	169.0000	0.2296	741.0000
118	0.5003	0.5739	0.3553	0.7902	0.0810	0.7492	35.5000	0.1562	775.0000	178.0000	0.2297	781.0000
119	0.5052	0.5728	0.3529	0.7839	0.0767	0.7298	35.7500	0.1620	765.0000	186.0000	0.2431	773.0000
120	0.5122	0.5657	0.3431	0.7952	0.0768	0.7493	35.7500	0.1588	773.0000	178.0000	0.2303	777.0000
121	0.5217	0.5728	0.3452	0.8205	0.0886	0.7685	35.6250	0.1469	678.0000	166.0000	0.2448	681.0000
122	0.5209	0.5811	0.3383	0.7833	0.0812	0.7395	36.5000	0.1648	744.0000	175.0000	0.2352	749.0000
123	0.5416	0.5767	0.3494	0.8221	0.0872	0.7686	35.1250	0.1433	700.0000	160.0000	0.2286	703.0000
124	0.5442	0.5789	0.3585	0.8174	0.0869	0.7727	35.5000	0.1423	725.0000	165.0000	0.2276	727.0000
125	0.5120	0.5827	0.3585	0.8241	0.0822	0.7521	35.6250	0.1472	756.0000	176.0000	0.2328	758.0000
126	0.5452	0.5844	0.3670	0.8063	0.0837	0.7789	35.5000	0.1439	752.0000	170.0000	0.2261	756.0000
127	0.4975	0.5838	0.3571	0.7963	0.0840	0.7519	35.0000	0.1486	750.0000	179.0000	0.2387	754.0000
128	0.5247	0.5750	0.3637	0.8097	0.0823	0.7309	35.5000	0.1661	769.0000	173.0000	0.2250	771.0000
129	0.5153	0.5772	0.3489	0.7936	0.0801	0.7380	35.5000	0.1771	773.0000	184.0000	0.2380	775.0000
130	0.5437	0.5816	0.3548	0.7957	0.0830	0.7448	36.5000	0.1636	766.0000	181.0000	0.2363	770.0000
131	0.5306	0.5783	0.3674	0.8053	0.0881	0.7343	35.7500	0.1745	746.0000	180.0000	0.2413	750.0000
132	0.5293	0.5756	0.3625	0.8160	0.0817	0.7555	35.3750	0.1512	758.0000	166.0000	0.2190	763.0000
133	0.5389	0.5849	0.3631	0.8048	0.0860	0.7345	35.6250	0.1650	726.0000	178.0000	0.2452	729.0000
134	0.5236	0.5822	0.3609	0.7947	0.0825	0.7527	36.2500	0.1611	782.0000	176.0000	0.2251	787.0000
135	0.4987	0.5679	0.3545	0.8015	0.0814	0.7410	35.5000	0.1506	737.0000	175.0000	0.2374	740.0000
136	0.5052	0.5855	0.3554	0.7981	0.0817	0.7592	35.7500	0.1491	782.0000	174.0000	0.2225	786.0000
137	0.4983	0.5778	0.3556	0.7853	0.0838	0.7560	35.1250	0.1469	735.0000	174.0000	0.2367	738.0000
138	0.5032	0.5833	0.3539	0.8045	0.0837	0.7710	35.8750	0.1635	751.0000	169.0000	0.2250	753.0000
139	0.5402	0.5783	0.3453	0.8085	0.0836	0.7329	35.7500	0.1666	731.0000	175.0000	0.2394	733.0000
140	0.5362	0.5701	0.3597	0.8147	0.0804	0.7535	36.2500	0.1623	764.0000	170.0000	0.2225	766.0000
141	0.5226	0.5805	0.3590	0.8055	0.0843	0.7553	35.8750	0.1632	745.0000	171.0000	0.2295	749.0000
142	0.5423	0.5706	0.3431	0.7802	0.0765	0.7441	35.2500	0.1614	771.0000	174.0000	0.2257	776.0000
143	0.5328	0.5800	0.3589	0.7960	0.0873	0.7421	35.5000	0.1479	750.0000	174.0000	0.2320	752.0000
144	0.5309	0.5794	0.3629	0.7980	0.0867	0.7497	36.2500	0.1677	738.0000	176.0000	0.2385	743.0000
145	0.5363	0.5761	0.3371	0.8159	0.0801	0.7559	35.6250	0.1704	718.0000	164.0000	0.2284	721.0000
146	0.5107	0.5739	0.3580	0.7992	0.0850	0.7582	35.5000	0.1448	745.0000	170.0000	0.2282	750.0000
147	0.5367	0.5772	0.3512	0.8012	0.0826	0.7681	35.3750	0.1504	738.0000	166.0000	0.2249	743.0000
148	0.5261	0.5888	0.3689	0.8049	0.0902	0.7577	36.0000	0.1612	790.0000	176.0000	0.2228	795.0000
149	0.5101	0.5750	0.3495	0.8083	0.0788	0.7510	36.0000	0.1343	751.0000	165.0000	0.2197	759.0000
150	0.5266	0.5871	0.3680	0.8012	0.0837	0.7487	35.3750	0.1568	781.0000	173.0000	0.2215	788.0000
151	0.5096	0.5734	0.3445	0.8119	0.0783	0.7618	35.6250	0.1594	729.0000	165.0000	0.2263	732.0000
152	0.5341	0.5860	0.3680	0.7741	0.0887	0.7498	35.6250	0.1530	756.0000	169.0000	0.2235	759.0000
153	0.5192	0.5772	0.3589	0.8163	0.0816	0.7769	35.7500	0.1523	755.0000	166.0000	0.2199	761.0000
154	0.5481	0.5778	0.3531	0.7958	0.0843	0.7578	35.8750	0.1529	720.0000	166.0000	0.2306	723.0000
155	0.5191	0.5734	0.3497	0.7948	0.0867	0.7579	35.8750	0.1518	703.0000	174.0000	0.2475	705.0000
156	0.5048	0.5542	0.3314	0.7985	0.0777	0.7466	35.8750	0.1690	727.0000	170.0000	0.2338	733.0000
157	0.5179	0.5833	0.3591	0.7945	0.0822	0.7462	35.6250	0.1547	764.0000	170.0000	0.2225	767.0000
158	0.5090	0.5701	0.3542	0.8023	0.0808	0.7486	35.6250	0.1661	739.0000	175.0000	0.2368	743.0000
159	0.5432	0.5800	0.3682	0.8005	0.0843	0.7699	36.5000	0.1513	749.0000	174.0000	0.2323	752.0000
160	0.5353	0.5849	0.3692	0.7982	0.0842	0.7504	35.7500	0.1608	768.0000	165.0000	0.2148	772.0000
161	0.5261	0.5844	0.3746	0.7992	0.0882	0.7696	35.2500	0.1293	756.0000	171.0000	0.2262	760.0000
162	0.5100	0.5695	0.3363	0.7917	0.0755	0.7587	35.5000	0.1523	749.0000	169.0000	0.2256	754.0000
163	0.5177	0.5701	0.3538	0.8002	0.0773	0.7587	35.5000	0.1505	791.0000	172.0000	0.2174	794.0000
164	0.5335	0.5833	0.3611	0.7894	0.0787	0.7580	35.5000	0.1600	758.0000	172.0000	0.2269	763.0000
165	0.5118	0.5761	0.3560	0.7944	0.0839	0.7517	35.2500	0.1538	738.0000	170.0000	0.2304	742.0000
166	0.5028	0.5800	0.3579	0.7979	0.0812	0.7491	35.6250	0.1696	768.0000	176.0000	0.2292	774.0000
167	0.5082	0.5745	0.3549	0.8035	0.0803	0.7440	35.8750	0.1487	733.0000	170.0000	0.2319	735.0000
168	0.5366	0.5789	0.3638	0.8010	0.0863	0.7630	35.5000	0.1409	771.0000	171.0000	0.2218	773.0000
