accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
104	0.3690	0.4679	0.3500	0.8236	0.0681	0.6301	35.8947	0.3210	666.0000	187.0000	0.2808	683.0000
105	0.3816	0.4721	0.3543	0.8021	0.0696	0.6422	35.8947	0.3102	717.0000	201.0000	0.2803	736.0000
106	0.4008	0.4719	0.3622	0.8141	0.0696	0.6539	36.2105	0.3051	723.0000	191.0000	0.2642	746.0000
107	0.4153	0.4691	0.3457	0.8057	0.0677	0.6521	36.1053	0.2990	714.0000	182.0000	0.2549	728.0000
108	0.3921	0.4596	0.3395	0.8014	0.0631	0.6455	35.7895	0.3104	662.0000	183.0000	0.2764	676.0000
109	0.3747	0.4695	0.3583	0.8024	0.0700	0.6393	35.7895	0.3087	726.0000	201.0000	0.2769	740.0000
110	0.3816	0.4702	0.3593	0.8160	0.0691	0.6370	35.9474	0.3204	687.0000	197.0000	0.2868	702.0000
111	0.3649	0.4644	0.3476	0.8249	0.0663	0.6301	36.2632	0.3170	678.0000	186.0000	0.2743	704.0000
112	0.4004	0.4721	0.3623	0.8027	0.0700	0.6470	36.2632	0.3120	711.0000	192.0000	0.2700	732.0000
113	0.3851	0.4691	0.3585	0.8082	0.0677	0.6546	35.8421	0.2975	721.0000	194.0000	0.2691	743.0000
114	0.3705	0.4695	0.3555	0.8063	0.0700	0.6215	35.6842	0.3350	687.0000	194.0000	0.2824	709.0000
115	0.3900	0.4663	0.3430	0.8231	0.0639	0.6364	36.1053	0.3246	641.0000	192.0000	0.2995	659.0000
116	0.3585	0.4702	0.3476	0.7921	0.0662	0.6447	36.0526	0.3176	713.0000	199.0000	0.2791	726.0000
117	0.3830	0.4642	0.3518	0.8065	0.0679	0.6249	36.1579	0.3313	665.0000	189.0000	0.2842	686.0000
118	0.3818	0.4663	0.3433	0.8039	0.0653	0.6372	36.3158	0.3236	681.0000	189.0000	0.2775	702.0000
119	0.3821	0.4684	0.3380	0.8103	0.0666	0.6381	36.2632	0.3240	665.0000	191.0000	0.2872	686.0000
120	0.3882	0.4642	0.3506	0.8202	0.0669	0.6485	36.0000	0.3018	667.0000	183.0000	0.2744	684.0000
121	0.4137	0.4716	0.3577	0.8185	0.0685	0.6529	36.0526	0.3126	687.0000	190.0000	0.2766	704.0000
122	0.3754	0.4698	0.3553	0.8067	0.0686	0.6282	35.8947	0.3230	701.0000	199.0000	0.2839	709.0000
123	0.3762	0.4702	0.3605	0.8243	0.0678	0.6372	36.0526	0.3295	681.0000	198.0000	0.2907	697.0000
124	0.3646	0.4679	0.3446	0.8071	0.0692	0.6350	36.2105	0.3266	690.0000	191.0000	0.2768	708.0000
125	0.4131	0.4656	0.3453	0.8035	0.0673	0.6624	35.8947	0.2945	657.0000	178.0000	0.2709	672.0000
126	0.3867	0.4665	0.3524	0.8166	0.0665	0.6303	36.2105	0.3263	676.0000	197.0000	0.2914	693.0000
127	0.3857	0.4656	0.3512	0.8235	0.0664	0.6507	35.8421	0.3152	689.0000	179.0000	0.2598	707.0000
128	0.3585	0.4679	0.3559	0.8068	0.0692	0.6302	36.0000	0.3189	706.0000	193.0000	0.2734	727.0000
129	0.4056	0.4670	0.3480	0.8066	0.0676	0.6499	35.8421	0.3119	686.0000	181.0000	0.2638	709.0000
130	0.3824	0.4614	0.3426	0.8182	0.0660	0.6271	35.5263	0.3300	669.0000	187.0000	0.2795	685.0000
131	0.3777	0.4668	0.3480	0.8170	0.0691	0.6283	36.0526	0.3310	684.0000	192.0000	0.2807	705.0000
132	0.3602	0.4684	0.3532	0.8153	0.0676	0.6382	36.0526	0.3145	699.0000	196.0000	0.2804	722.0000
133	0.3939	0.4654	0.3537	0.8106	0.0662	0.6360	36.0526	0.3184	690.0000	188.0000	0.2725	709.0000
134	0.3847	0.4709	0.3627	0.8028	0.0688	0.6448	35.8947	0.3086	687.0000	190.0000	0.2766	699.0000
135	0.3762	0.4679	0.3588	0.7990	0.0704	0.6426	35.9474	0.3136	704.0000	193.0000	0.2741	718.0000
136	0.3692	0.4651	0.3446	0.8100	0.0659	0.6429	35.8947	0.3121	705.0000	192.0000	0.2723	715.0000
137	0.3668	0.4621	0.3476	0.8299	0.0672	0.6362	36.0000	0.3272	694.0000	181.0000	0.2608	712.0000
138	0.3867	0.4647	0.3467	0.8099	0.0663	0.6272	36.1053	0.3347	690.0000	188.0000	0.2725	715.0000
139	0.3876	0.4628	0.3540	0.8351	0.0676	0.6519	35.8947	0.3135	669.0000	176.0000	0.2631	687.0000
140	0.3964	0.4707	0.3587	0.8036	0.0673	0.6535	36.1053	0.3140	666.0000	189.0000	0.2838	686.0000
141	0.3886	0.4677	0.3537	0.8007	0.0679	0.6592	36.0526	0.2895	715.0000	185.0000	0.2587	738.0000
142	0.3991	0.4716	0.3598	0.8167	0.0696	0.6474	36.1053	0.3097	708.0000	190.0000	0.2684	734.0000
