accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
46	0.6425	0.2978	0.6400	3.0547	0.1267	0.8155	32.9286	0.0957	3.4831	382.0000	0.1585	2412.0000	0.8068	5065.0000	6278.0000	0.9693	0.7924
47	0.6373	0.2972	0.6431	2.9172	0.1253	0.8181	32.9286	0.0979	3.4535	381.0000	0.1570	2428.0000	0.8155	5120.0000	6278.0000	0.9675	0.7975
48	0.6419	0.2970	0.6448	2.8641	0.1265	0.8251	32.7857	0.0936	3.4292	360.0000	0.1480	2435.0000	0.8249	5179.0000	6278.0000	0.9766	0.7980
49	0.6467	0.2969	0.6354	2.9474	0.1242	0.8310	32.6429	0.0814	3.4924	363.0000	0.1516	2396.0000	0.8015	5032.0000	6278.0000	0.9708	0.8023
50	0.6501	0.2970	0.6441	3.0181	0.1273	0.8232	32.7143	0.0921	3.5077	368.0000	0.1546	2382.0000	0.7972	5005.0000	6278.0000	0.9723	0.7943
51	0.6491	0.2969	0.6415	2.7923	0.1248	0.8266	32.5714	0.0918	3.4902	367.0000	0.1532	2398.0000	0.8068	5065.0000	6278.0000	0.9708	0.8083
52	0.6321	0.2984	0.6481	2.8673	0.1236	0.8199	32.5714	0.0943	3.4171	377.0000	0.1527	2471.0000	0.8326	5227.0000	6278.0000	0.9692	0.7977
53	0.6446	0.2972	0.6418	2.9979	0.1246	0.8208	33.0000	0.0927	3.5103	387.0000	0.1618	2394.0000	0.7953	4993.0000	6278.0000	0.9678	0.7953
54	0.6425	0.2979	0.6378	2.8491	0.1244	0.8221	32.7857	0.0904	3.5533	366.0000	0.1540	2379.0000	0.7870	4941.0000	6278.0000	0.9773	0.8065
55	0.6440	0.2990	0.6396	2.9216	0.1237	0.8232	32.7857	0.0911	3.4674	372.0000	0.1545	2410.0000	0.8162	5124.0000	6278.0000	0.9685	0.8009
56	0.6496	0.2991	0.6451	3.0254	0.1282	0.8266	32.9286	0.0911	3.4730	368.0000	0.1531	2406.0000	0.8089	5078.0000	6278.0000	0.9688	0.8030
57	0.6431	0.2996	0.6344	2.8846	0.1284	0.8215	32.8571	0.0933	3.5946	373.0000	0.1596	2339.0000	0.7713	4842.0000	6278.0000	0.9705	0.8074
58	0.6479	0.2966	0.6380	2.9149	0.1228	0.8209	32.9286	0.0927	3.5124	378.0000	0.1594	2373.0000	0.7928	4977.0000	6278.0000	0.9709	0.8037
59	0.6520	0.2982	0.6400	2.8891	0.1241	0.8217	32.7143	0.0943	3.5314	376.0000	0.1575	2389.0000	0.7917	4970.0000	6278.0000	0.9745	0.8069
60	0.6455	0.3018	0.6367	2.9536	0.1281	0.8199	32.6429	0.0955	3.5966	370.0000	0.1561	2373.0000	0.7853	4930.0000	6278.0000	0.9772	0.8012
61	0.6329	0.2987	0.6388	3.1226	0.1207	0.8149	32.5000	0.0942	3.4745	383.0000	0.1588	2414.0000	0.8100	5085.0000	6278.0000	0.9693	0.7922
62	0.6397	0.2972	0.6442	2.9158	0.1220	0.8271	32.8571	0.0854	3.4555	366.0000	0.1511	2424.0000	0.8127	5102.0000	6278.0000	0.9719	0.8004
63	0.6546	0.3015	0.6522	2.8847	0.1272	0.8262	32.7857	0.0918	3.5523	382.0000	0.1580	2419.0000	0.8023	5037.0000	6278.0000	0.9678	0.8027
64	0.6438	0.2969	0.6407	3.0017	0.1255	0.8196	33.0000	0.0954	3.4703	373.0000	0.1555	2401.0000	0.8101	5086.0000	6278.0000	0.9729	0.7981
65	0.6478	0.2983	0.6417	2.9233	0.1288	0.8223	32.7857	0.0935	3.5385	371.0000	0.1565	2372.0000	0.7901	4960.0000	6278.0000	0.9718	0.8079
66	0.6508	0.2998	0.6478	2.8646	0.1256	0.8229	32.5000	0.0911	3.4857	371.0000	0.1524	2437.0000	0.8159	5122.0000	6278.0000	0.9725	0.7983
67	0.6436	0.2967	0.6300	3.0397	0.1244	0.8178	32.8571	0.0925	3.5023	375.0000	0.1586	2367.0000	0.7912	4967.0000	6278.0000	0.9734	0.7942
68	0.6406	0.2972	0.6377	2.9421	0.1264	0.8206	32.5000	0.0954	3.5003	377.0000	0.1582	2385.0000	0.8001	5023.0000	6278.0000	0.9702	0.8006
69	0.6321	0.2995	0.6471	2.8550	0.1244	0.8287	32.7143	0.0847	3.4774	362.0000	0.1484	2442.0000	0.8214	5157.0000	6278.0000	0.9762	0.7988
70	0.6491	0.2989	0.6467	2.9484	0.1221	0.8196	32.6429	0.0916	3.4875	373.0000	0.1530	2440.0000	0.8159	5122.0000	6278.0000	0.9750	0.7980
71	0.6337	0.2984	0.6363	2.8427	0.1254	0.8198	32.6429	0.0951	3.5146	376.0000	0.1574	2391.0000	0.7964	5000.0000	6278.0000	0.9732	0.8007
72	0.6366	0.2975	0.6476	2.8541	0.1247	0.8233	32.6429	0.0910	3.4594	373.0000	0.1539	2426.0000	0.8189	5141.0000	6278.0000	0.9740	0.8013
73	0.6453	0.3006	0.6392	2.9716	0.1232	0.8213	32.8571	0.0923	3.5520	376.0000	0.1570	2397.0000	0.7958	4996.0000	6278.0000	0.9691	0.7955
74	0.6508	0.2971	0.6419	2.9871	0.1263	0.8212	32.6429	0.0917	3.4995	371.0000	0.1548	2398.0000	0.8011	5029.0000	6278.0000	0.9658	0.7986
75	0.6399	0.2975	0.6462	2.8166	0.1228	0.8287	32.6429	0.0897	3.4557	363.0000	0.1498	2426.0000	0.8203	5150.0000	6278.0000	0.9749	0.7977
76	0.6385	0.2978	0.6521	2.9109	0.1276	0.8259	32.8571	0.0923	3.5039	376.0000	0.1567	2401.0000	0.8042	5049.0000	6278.0000	0.9700	0.8007
77	0.6372	0.2979	0.6418	2.9261	0.1224	0.8154	32.7857	0.0983	3.5474	377.0000	0.1575	2396.0000	0.7939	4984.0000	6278.0000	0.9725	0.7995
78	0.6441	0.2981	0.6368	2.8522	0.1236	0.8222	32.6429	0.0949	3.5111	369.0000	0.1551	2381.0000	0.8012	5030.0000	6278.0000	0.9731	0.8029
79	0.6537	0.2978	0.6403	2.8435	0.1263	0.8239	32.7857	0.0922	3.4893	377.0000	0.1570	2403.0000	0.8057	5058.0000	6278.0000	0.9663	0.8105
80	0.6447	0.2965	0.6498	2.8296	0.1265	0.8239	32.6429	0.0920	3.4911	365.0000	0.1518	2406.0000	0.8103	5087.0000	6278.0000	0.9742	0.8079
81	0.6364	0.2976	0.6447	2.9984	0.1262	0.8182	32.7143	0.0973	3.4472	374.0000	0.1543	2426.0000	0.8249	5179.0000	6278.0000	0.9732	0.7948
82	0.6454	0.2976	0.6430	2.8894	0.1256	0.8217	32.7857	0.0929	3.5052	367.0000	0.1528	2404.0000	0.7955	4994.0000	6278.0000	0.9767	0.8051
83	0.6329	0.2998	0.6434	2.8412	0.1224	0.8301	32.7143	0.0856	3.5369	375.0000	0.1569	2393.0000	0.7966	5001.0000	6278.0000	0.9728	0.8083
84	0.6316	0.2984	0.6398	2.9030	0.1237	0.8248	33.0000	0.0872	3.5121	378.0000	0.1568	2412.0000	0.8028	5040.0000	6278.0000	0.9685	0.8036
85	0.6403	0.2984	0.6438	2.9400	0.1255	0.8149	32.9286	0.0989	3.5351	386.0000	0.1622	2382.0000	0.7969	5003.0000	6278.0000	0.9664	0.7912
86	0.6410	0.2982	0.6456	3.0008	0.1261	0.8267	32.7143	0.0865	3.4929	371.0000	0.1541	2410.0000	0.8060	5060.0000	6278.0000	0.9747	0.7982
87	0.6374	0.2997	0.6412	2.9410	0.1211	0.8203	33.0714	0.0890	3.5078	380.0000	0.1570	2423.0000	0.8049	5053.0000	6278.0000	0.9707	0.7964
88	0.6398	0.2992	0.6469	2.8343	0.1298	0.8178	32.8571	0.0999	3.5739	370.0000	0.1557	2378.0000	0.7902	4961.0000	6278.0000	0.9752	0.8074
89	0.6512	0.2970	0.6446	2.7229	0.1235	0.8339	32.7857	0.0875	3.4936	358.0000	0.1486	2411.0000	0.8065	5063.0000	6278.0000	0.9706	0.8123
90	0.6359	0.2984	0.6396	2.9764	0.1220	0.8167	33.0000	0.0923	3.4745	380.0000	0.1574	2416.0000	0.8090	5079.0000	6278.0000	0.9714	0.7989
91	0.6435	0.2991	0.6453	2.7850	0.1295	0.8295	33.0000	0.0892	3.5435	361.0000	0.1511	2391.0000	0.7952	4992.0000	6278.0000	0.9745	0.8068
92	0.6342	0.2984	0.6459	2.7307	0.1243	0.8285	32.6429	0.0901	3.4902	371.0000	0.1543	2406.0000	0.8081	5073.0000	6278.0000	0.9755	0.8113
93	0.6419	0.2991	0.6385	2.8673	0.1267	0.8221	32.5714	0.0907	3.5729	375.0000	0.1601	2344.0000	0.7818	4908.0000	6278.0000	0.9701	0.8048
94	0.6548	0.2987	0.6434	2.8137	0.1253	0.8323	32.8571	0.0833	3.4481	359.0000	0.1468	2448.0000	0.8222	5162.0000	6278.0000	0.9730	0.8043
95	0.6405	0.2966	0.6391	2.8236	0.1271	0.8199	33.3571	0.1004	3.5494	374.0000	0.1587	2358.0000	0.7845	4925.0000	6278.0000	0.9656	0.8023
96	0.6471	0.2967	0.6416	2.8744	0.1262	0.8264	32.7857	0.0915	3.5296	364.0000	0.1540	2365.0000	0.7901	4960.0000	6278.0000	0.9708	0.8018
97	0.6441	0.2969	0.6269	2.8029	0.1215	0.8282	32.7857	0.0842	3.4846	361.0000	0.1518	2380.0000	0.7961	4998.0000	6278.0000	0.9769	0.8023
98	0.6428	0.2964	0.6412	2.8894	0.1277	0.8182	32.8571	0.0952	3.5650	372.0000	0.1608	2315.0000	0.7773	4880.0000	6278.0000	0.9741	0.8064
99	0.6362	0.2969	0.6443	2.8655	0.1257	0.8227	32.3571	0.0918	3.5037	369.0000	0.1529	2416.0000	0.8058	5059.0000	6278.0000	0.9752	0.8028
100	0.6421	0.2976	0.6393	2.8183	0.1234	0.8270	33.0714	0.0905	3.5009	372.0000	0.1551	2400.0000	0.8026	5039.0000	6278.0000	0.9704	0.8022
