accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
54	0.5405	0.5811	0.3539	0.8085	0.0835	0.7507	35.3750	0.1530	3.3424	174.0000	0.2440	716.0000	0.4482	441.0000	984.0000
55	0.5081	0.5651	0.3625	0.7826	0.0759	0.7516	35.1250	0.1744	3.1948	181.0000	0.2318	786.0000	0.4695	462.0000	984.0000
56	0.5221	0.5822	0.3587	0.8040	0.0810	0.7617	35.0000	0.1551	3.4405	175.0000	0.2387	735.0000	0.4614	454.0000	984.0000
57	0.5441	0.5761	0.3676	0.7937	0.0795	0.7573	35.2500	0.1673	3.3391	177.0000	0.2332	763.0000	0.4736	466.0000	984.0000
58	0.5465	0.5778	0.3541	0.8225	0.0787	0.7590	36.3750	0.1413	3.4519	172.0000	0.2389	722.0000	0.4543	447.0000	984.0000
59	0.5309	0.5789	0.3586	0.8007	0.0769	0.7473	35.7500	0.1576	3.2552	174.0000	0.2231	783.0000	0.4898	482.0000	984.0000
60	0.5419	0.5816	0.3531	0.8087	0.0768	0.7611	36.0000	0.1509	3.4912	170.0000	0.2436	705.0000	0.4593	452.0000	984.0000
61	0.5340	0.5849	0.3667	0.8153	0.0816	0.7520	36.1250	0.1658	3.4401	174.0000	0.2451	713.0000	0.4411	434.0000	984.0000
62	0.5462	0.5772	0.3716	0.7948	0.0795	0.7540	35.2500	0.1429	3.3778	179.0000	0.2365	762.0000	0.4573	450.0000	984.0000
63	0.5531	0.5789	0.3599	0.7899	0.0936	0.7503	35.8750	0.1559	3.3606	173.0000	0.2273	763.0000	0.4593	452.0000	984.0000
64	0.5417	0.5739	0.3602	0.7941	0.0753	0.7548	35.3750	0.1505	3.3477	174.0000	0.2305	757.0000	0.4705	463.0000	984.0000
65	0.5358	0.5800	0.3556	0.7997	0.0820	0.7709	35.2500	0.1570	3.4440	165.0000	0.2212	749.0000	0.4624	455.0000	984.0000
66	0.5426	0.5800	0.3576	0.8009	0.0757	0.7656	35.6250	0.1487	3.3750	176.0000	0.2375	743.0000	0.4634	456.0000	984.0000
