accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
57	0.8099	0.4236	0.1643	1.7417	0.0384	0.8682	16.9000	0.0941	2.8433	43.0000	0.1250	422.0000	0.2966	504.0000	1699.0000	0.9739	0.8668
58	0.8168	0.4236	0.1682	1.8795	0.0364	0.8659	17.0000	0.0925	2.8076	53.0000	0.1328	415.0000	0.2937	499.0000	1699.0000	0.9398	0.8803
59	0.8006	0.4232	0.1662	1.8616	0.0415	0.8555	16.9000	0.0909	2.7949	53.0000	0.1456	419.0000	0.2755	468.0000	1699.0000	0.9523	0.8563
60	0.7643	0.4215	0.1594	1.8417	0.0327	0.8444	16.9000	0.1182	2.7711	56.0000	0.1538	417.0000	0.2855	485.0000	1699.0000	0.9472	0.8500
61	0.8258	0.4240	0.1620	2.1303	0.0361	0.8685	16.8000	0.0966	2.6753	48.0000	0.1371	399.0000	0.2955	502.0000	1699.0000	0.9474	0.8355
62	0.8182	0.4330	0.1750	1.9104	0.0410	0.8566	17.1000	0.1017	2.8692	55.0000	0.1499	424.0000	0.3061	520.0000	1699.0000	0.9434	0.8566
63	0.8500	0.4174	0.1681	1.8782	0.0446	0.8799	16.9000	0.0846	2.7154	47.0000	0.1234	435.0000	0.3102	527.0000	1699.0000	0.9563	0.8477
64	0.8011	0.4232	0.1576	2.0184	0.0384	0.8366	17.0000	0.1158	2.7193	57.0000	0.1667	435.0000	0.2831	481.0000	1699.0000	0.9425	0.8401
65	0.8467	0.4186	0.1598	1.6586	0.0376	0.8779	16.9000	0.0871	2.7290	41.0000	0.1353	372.0000	0.2802	476.0000	1699.0000	0.9651	0.8914
66	0.7862	0.4244	0.1735	1.8397	0.0403	0.8557	16.8000	0.1067	2.5781	52.0000	0.1379	468.0000	0.3278	557.0000	1699.0000	0.9615	0.8428
67	0.8012	0.4293	0.1934	2.0330	0.0550	0.8546	17.0000	0.1019	3.2295	52.0000	0.1387	394.0000	0.2796	475.0000	1699.0000	0.9467	0.8441
68	0.8127	0.4190	0.1733	1.9190	0.0403	0.8632	17.0000	0.1031	2.6660	53.0000	0.1440	432.0000	0.2961	503.0000	1699.0000	0.9444	0.8442
69	0.7983	0.4269	0.1822	1.8606	0.0454	0.8604	16.8000	0.1107	2.7243	51.0000	0.1250	452.0000	0.3267	555.0000	1699.0000	0.9558	0.8392
70	0.8097	0.4207	0.1701	1.9798	0.0439	0.8653	16.8000	0.0871	2.8233	51.0000	0.1238	446.0000	0.2831	481.0000	1699.0000	0.9507	0.8662
71	0.8299	0.4211	0.1721	1.7807	0.0464	0.8912	16.8000	0.1027	2.8278	45.0000	0.1139	415.0000	0.2837	482.0000	1699.0000	0.9518	0.8797
72	0.7989	0.4207	0.1694	1.9455	0.0356	0.8435	16.7000	0.1152	2.7510	56.0000	0.1713	404.0000	0.2908	494.0000	1699.0000	0.9257	0.8591
73	0.8234	0.4207	0.1537	1.8596	0.0366	0.8567	16.7000	0.1032	2.7681	54.0000	0.1347	413.0000	0.2843	483.0000	1699.0000	0.9395	0.8579
74	0.8213	0.4265	0.1826	1.7821	0.0465	0.8694	16.9000	0.1056	2.7544	52.0000	0.1347	459.0000	0.3019	513.0000	1699.0000	0.9542	0.8761
75	0.8120	0.4289	0.1792	2.0111	0.0429	0.8645	17.0000	0.0999	2.8247	53.0000	0.1355	449.0000	0.2955	502.0000	1699.0000	0.9532	0.8499
76	0.7733	0.4219	0.1690	2.0655	0.0397	0.8319	16.8000	0.1057	2.7718	61.0000	0.1510	443.0000	0.2966	504.0000	1699.0000	0.9391	0.8220
77	0.8348	0.4248	0.1724	1.7767	0.0418	0.8767	16.8000	0.0847	2.8944	47.0000	0.1263	412.0000	0.2843	483.0000	1699.0000	0.9587	0.8709
78	0.8164	0.4203	0.1710	1.8867	0.0385	0.8564	17.0000	0.0902	2.6772	51.0000	0.1349	459.0000	0.3172	539.0000	1699.0000	0.9651	0.8318
79	0.7771	0.4194	0.1741	1.9031	0.0431	0.8470	16.9000	0.1140	2.8876	52.0000	0.1376	413.0000	0.2931	498.0000	1699.0000	0.9540	0.8560
80	0.7900	0.4232	0.1724	1.9023	0.0382	0.8523	16.8000	0.1099	2.7682	52.0000	0.1387	430.0000	0.3225	548.0000	1699.0000	0.9442	0.8713
81	0.8312	0.4322	0.1862	1.8505	0.0457	0.8740	16.9000	0.0878	2.8781	54.0000	0.1211	455.0000	0.2849	484.0000	1699.0000	0.9516	0.8672
82	0.8332	0.4260	0.1663	1.7656	0.0385	0.8643	16.9000	0.1015	2.9160	49.0000	0.1454	418.0000	0.2872	488.0000	1699.0000	0.9426	0.8739
83	0.8220	0.4199	0.1675	1.7767	0.0402	0.8466	17.0000	0.1137	2.7348	50.0000	0.1429	421.0000	0.2908	494.0000	1699.0000	0.9620	0.8614
84	0.8266	0.4265	0.1770	1.7360	0.0446	0.8626	16.8000	0.0977	3.0445	54.0000	0.1552	394.0000	0.2778	472.0000	1699.0000	0.9289	0.8779
85	0.8034	0.4260	0.1714	1.7167	0.0433	0.8582	16.9000	0.1150	2.8644	49.0000	0.1400	413.0000	0.2908	494.0000	1699.0000	0.9516	0.8764
86	0.8024	0.4186	0.1671	1.8899	0.0446	0.8632	17.0000	0.1018	2.6581	49.0000	0.1250	436.0000	0.3202	544.0000	1699.0000	0.9587	0.8554
87	0.8167	0.4178	0.1647	1.8756	0.0365	0.8842	17.0000	0.0762	2.6840	43.0000	0.1276	410.0000	0.2943	500.0000	1699.0000	0.9634	0.8636
88	0.7493	0.4273	0.1836	2.1634	0.0377	0.8197	17.2000	0.1223	2.8255	68.0000	0.1748	453.0000	0.3002	510.0000	1699.0000	0.9382	0.8274
89	0.8344	0.4227	0.1709	1.7747	0.0446	0.8792	16.8000	0.0960	2.6844	47.0000	0.1187	435.0000	0.3096	526.0000	1699.0000	0.9517	0.8858
90	0.7926	0.4248	0.1745	2.0000	0.0337	0.8521	17.1000	0.0949	2.9392	50.0000	0.1493	392.0000	0.2808	477.0000	1699.0000	0.9643	0.8448
91	0.8025	0.4244	0.1715	1.7329	0.0464	0.8799	16.8000	0.0930	2.7004	44.0000	0.1073	453.0000	0.3025	514.0000	1699.0000	0.9757	0.8648
92	0.7779	0.4252	0.1710	1.8753	0.0449	0.8327	16.9000	0.1270	2.9238	58.0000	0.1480	433.0000	0.2937	499.0000	1699.0000	0.9400	0.8651
93	0.7937	0.4166	0.1629	1.7809	0.0392	0.8471	17.0000	0.1094	2.7361	52.0000	0.1548	388.0000	0.2855	485.0000	1699.0000	0.9433	0.8687
94	0.8004	0.4199	0.1631	2.0787	0.0343	0.8359	16.9000	0.1182	2.9144	59.0000	0.1700	381.0000	0.2613	444.0000	1699.0000	0.9344	0.8375
95	0.8118	0.4232	0.1756	1.9101	0.0411	0.8641	17.0000	0.1050	2.8503	55.0000	0.1432	445.0000	0.3067	521.0000	1699.0000	0.9483	0.8636
96	0.7819	0.4244	0.1648	2.0892	0.0436	0.8326	17.0000	0.1343	2.8862	56.0000	0.1564	426.0000	0.2637	448.0000	1699.0000	0.9390	0.8449
97	0.8195	0.4281	0.1736	1.8484	0.0404	0.8554	17.0000	0.1038	2.7445	54.0000	0.1459	442.0000	0.3225	548.0000	1699.0000	0.9480	0.8490
98	0.8076	0.4265	0.1744	1.9784	0.0435	0.8562	16.9000	0.1028	2.8004	55.0000	0.1332	464.0000	0.3125	531.0000	1699.0000	0.9547	0.8413
99	0.7805	0.4248	0.1755	1.8245	0.0402	0.8710	16.8000	0.0844	2.9100	47.0000	0.1146	433.0000	0.2943	500.0000	1699.0000	0.9677	0.8488
100	0.8227	0.4170	0.1704	1.9091	0.0362	0.8550	16.8000	0.1060	2.9459	50.0000	0.1466	396.0000	0.2719	462.0000	1699.0000	0.9419	0.8766
