accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
70	0.5334	0.3182	0.3343	0.7810	0.0308	0.7301	32.3000	0.2084	638.0000	135.0000	0.2116	668.0000
71	0.4927	0.3172	0.3263	0.7776	0.0302	0.6828	34.0000	0.2444	641.0000	164.0000	0.2559	674.0000
72	0.5339	0.3172	0.3317	0.7777	0.0258	0.7255	32.8000	0.2028	580.0000	136.0000	0.2345	617.0000
73	0.5105	0.3197	0.3367	0.7932	0.0254	0.7367	33.1000	0.1822	627.0000	141.0000	0.2249	668.0000
74	0.5198	0.3187	0.3256	0.7519	0.0269	0.7194	32.4000	0.2176	626.0000	145.0000	0.2316	656.0000
75	0.5135	0.3197	0.3293	0.7924	0.0281	0.7266	33.0000	0.2067	646.0000	139.0000	0.2152	676.0000
76	0.5488	0.3197	0.3417	0.7706	0.0272	0.7072	32.6000	0.2069	636.0000	160.0000	0.2516	668.0000
77	0.4986	0.3177	0.3495	0.7678	0.0328	0.7154	31.8000	0.2105	707.0000	143.0000	0.2023	711.0000
78	0.5644	0.3172	0.3478	0.7810	0.0331	0.7479	32.1000	0.1875	639.0000	139.0000	0.2175	674.0000
79	0.5232	0.3177	0.3323	0.7983	0.0267	0.7097	32.4000	0.2160	638.0000	145.0000	0.2273	671.0000
80	0.5228	0.3177	0.3400	0.7851	0.0316	0.7166	32.5000	0.2179	645.0000	143.0000	0.2217	658.0000
81	0.5486	0.3172	0.3480	0.7931	0.0310	0.7586	32.3000	0.1677	673.0000	128.0000	0.1902	689.0000
82	0.5407	0.3182	0.3420	0.7661	0.0298	0.7309	33.2000	0.1885	690.0000	150.0000	0.2174	694.0000
83	0.5368	0.3192	0.3360	0.7820	0.0271	0.7191	32.9000	0.2041	626.0000	143.0000	0.2284	654.0000
84	0.4916	0.3202	0.3424	0.8073	0.0264	0.7225	33.2000	0.2101	631.0000	141.0000	0.2235	653.0000
85	0.5378	0.3192	0.3293	0.7942	0.0298	0.7116	32.3000	0.2174	606.0000	148.0000	0.2442	625.0000
86	0.5017	0.3167	0.3387	0.7715	0.0268	0.7131	33.5000	0.2166	668.0000	154.0000	0.2305	696.0000
87	0.5336	0.3187	0.3251	0.7917	0.0284	0.7311	32.9000	0.2094	594.0000	136.0000	0.2290	629.0000
88	0.4990	0.3192	0.3377	0.7628	0.0299	0.6932	33.6000	0.2203	638.0000	156.0000	0.2445	661.0000
89	0.4916	0.3187	0.3451	0.7747	0.0291	0.7337	32.1000	0.1941	638.0000	143.0000	0.2241	672.0000
90	0.5662	0.3197	0.3418	0.8035	0.0297	0.7411	32.6000	0.1849	638.0000	133.0000	0.2085	650.0000
91	0.4323	0.3182	0.3412	0.7918	0.0263	0.7024	33.2000	0.2143	645.0000	151.0000	0.2341	676.0000
92	0.4953	0.3182	0.3216	0.7858	0.0245	0.7227	32.2000	0.2040	636.0000	146.0000	0.2296	640.0000
93	0.5372	0.3197	0.3311	0.7669	0.0271	0.7414	32.8000	0.1885	623.0000	136.0000	0.2183	651.0000
94	0.5210	0.3177	0.3257	0.7970	0.0264	0.7025	32.4000	0.2473	598.0000	140.0000	0.2341	602.0000
95	0.5070	0.3192	0.3403	0.7689	0.0287	0.7308	33.1000	0.1822	663.0000	136.0000	0.2051	716.0000
96	0.5217	0.3187	0.3324	0.7878	0.0248	0.7196	32.5000	0.2005	607.0000	148.0000	0.2438	628.0000
97	0.5405	0.3177	0.3398	0.7891	0.0281	0.7379	33.0000	0.2043	651.0000	138.0000	0.2120	685.0000
98	0.5282	0.3172	0.3337	0.7807	0.0309	0.7328	33.1000	0.2002	655.0000	145.0000	0.2214	674.0000
99	0.4928	0.3187	0.3366	0.7748	0.0273	0.6942	32.9000	0.2251	622.0000	145.0000	0.2331	655.0000
100	0.5502	0.3202	0.3435	0.7577	0.0336	0.7387	32.5000	0.1907	674.0000	137.0000	0.2033	690.0000
101	0.5193	0.3207	0.3440	0.7942	0.0294	0.7069	32.8000	0.2042	642.0000	151.0000	0.2352	689.0000
102	0.5478	0.3187	0.3210	0.7899	0.0296	0.7301	32.5000	0.1890	623.0000	133.0000	0.2135	654.0000
103	0.4747	0.3172	0.3309	0.7958	0.0268	0.7023	33.7000	0.2136	632.0000	153.0000	0.2421	661.0000
104	0.5205	0.3172	0.3456	0.7853	0.0287	0.7481	31.8000	0.1821	685.0000	142.0000	0.2073	726.0000
105	0.5101	0.3182	0.3390	0.7915	0.0302	0.7356	33.5000	0.1948	668.0000	138.0000	0.2066	687.0000
106	0.5221	0.3187	0.3281	0.7996	0.0294	0.7182	32.9000	0.2153	626.0000	147.0000	0.2348	648.0000
107	0.4807	0.3177	0.3353	0.7481	0.0284	0.6944	33.0000	0.2162	680.0000	163.0000	0.2397	697.0000
108	0.5215	0.3182	0.3465	0.7618	0.0287	0.7293	32.0000	0.1985	656.0000	152.0000	0.2317	696.0000
109	0.5479	0.3172	0.3383	0.8101	0.0291	0.7341	32.7000	0.1983	627.0000	132.0000	0.2105	642.0000
110	0.4728	0.3182	0.3380	0.7879	0.0236	0.7095	32.6000	0.2168	597.0000	150.0000	0.2513	640.0000
111	0.5205	0.3187	0.3089	0.8063	0.0245	0.7196	32.8000	0.2155	594.0000	140.0000	0.2357	641.0000
112	0.5157	0.3182	0.3198	0.7830	0.0241	0.7181	33.8000	0.2123	628.0000	149.0000	0.2373	632.0000
113	0.5201	0.3177	0.3372	0.7587	0.0304	0.7063	32.6000	0.2087	661.0000	155.0000	0.2345	701.0000
114	0.5160	0.3177	0.3336	0.7838	0.0263	0.7163	33.7000	0.2264	647.0000	150.0000	0.2318	669.0000
115	0.5361	0.3192	0.3313	0.7800	0.0261	0.7262	33.4000	0.1840	625.0000	138.0000	0.2208	664.0000
116	0.5231	0.3187	0.3362	0.7915	0.0252	0.7389	32.6000	0.1854	653.0000	141.0000	0.2159	674.0000
117	0.4735	0.3177	0.3193	0.7938	0.0251	0.7124	32.5000	0.2218	602.0000	149.0000	0.2475	628.0000
118	0.5309	0.3187	0.3331	0.8091	0.0298	0.7453	32.5000	0.1989	658.0000	136.0000	0.2067	673.0000
119	0.5116	0.3182	0.3496	0.7730	0.0297	0.7264	33.4000	0.1893	684.0000	146.0000	0.2135	731.0000
