accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
875	0.8139	0.6185	0.3504	0.7583	0.1837	0.8833	17.0000	0.0722	815.0000	89.0000	0.1092	830.0000
876	0.8146	0.6049	0.3516	0.7521	0.1827	0.8868	17.1000	0.0676	799.0000	86.0000	0.1076	830.0000
877	0.8380	0.6135	0.3508	0.7143	0.1811	0.8973	17.1000	0.0673	848.0000	83.0000	0.0979	898.0000
878	0.8128	0.6185	0.3531	0.7307	0.1881	0.9009	17.0000	0.0719	867.0000	84.0000	0.0969	895.0000
879	0.8249	0.6102	0.3545	0.7361	0.1878	0.8926	16.9000	0.0703	848.0000	91.0000	0.1073	865.0000
880	0.8183	0.6185	0.3582	0.7676	0.1860	0.9002	16.9000	0.0618	862.0000	81.0000	0.0940	896.0000
881	0.8198	0.6222	0.3636	0.7360	0.1898	0.8889	17.0000	0.0723	885.0000	88.0000	0.0994	903.0000
882	0.8268	0.6230	0.3616	0.7702	0.1892	0.8986	17.1000	0.0591	856.0000	83.0000	0.0970	858.0000
883	0.7900	0.6156	0.3554	0.7342	0.1823	0.8769	17.0000	0.0835	829.0000	93.0000	0.1122	859.0000
884	0.8042	0.6176	0.3481	0.7378	0.1798	0.8821	17.0000	0.0867	796.0000	92.0000	0.1156	811.0000
885	0.8303	0.6201	0.3568	0.7594	0.1887	0.8959	17.0000	0.0736	880.0000	81.0000	0.0920	925.0000
886	0.8079	0.6156	0.3474	0.7567	0.1876	0.8794	17.1000	0.0748	805.0000	91.0000	0.1130	828.0000
887	0.8299	0.6197	0.3643	0.7262	0.1898	0.8966	16.9000	0.0722	860.0000	85.0000	0.0988	868.0000
888	0.8246	0.6230	0.3563	0.7262	0.1807	0.8848	17.0000	0.0736	867.0000	92.0000	0.1061	889.0000
889	0.8132	0.6222	0.3587	0.7256	0.1850	0.8829	17.2000	0.0890	808.0000	90.0000	0.1114	837.0000
890	0.8439	0.6172	0.3647	0.7435	0.1885	0.9018	16.9000	0.0644	907.0000	85.0000	0.0937	911.0000
891	0.8083	0.6123	0.3578	0.7566	0.1867	0.8968	17.2000	0.0663	881.0000	90.0000	0.1022	883.0000
892	0.8325	0.6127	0.3488	0.7373	0.1794	0.8852	17.1000	0.0696	869.0000	93.0000	0.1070	902.0000
893	0.8402	0.6201	0.3565	0.7604	0.1850	0.8937	17.0000	0.0652	822.0000	80.0000	0.0973	838.0000
894	0.8026	0.6168	0.3560	0.7325	0.1871	0.8887	17.1000	0.0639	909.0000	87.0000	0.0957	943.0000
895	0.8093	0.6090	0.3385	0.7225	0.1797	0.8805	16.8000	0.0799	829.0000	90.0000	0.1086	856.0000
896	0.8417	0.6168	0.3499	0.7282	0.1776	0.8934	17.2000	0.0770	825.0000	88.0000	0.1067	850.0000
897	0.8107	0.6135	0.3549	0.7203	0.1790	0.8879	17.0000	0.0793	843.0000	91.0000	0.1079	857.0000
898	0.8207	0.6238	0.3603	0.7221	0.1890	0.8998	16.9000	0.0730	885.0000	85.0000	0.0960	901.0000
899	0.8335	0.6251	0.3659	0.7279	0.1843	0.8922	17.0000	0.0658	887.0000	93.0000	0.1048	911.0000
900	0.8250	0.6222	0.3624	0.7278	0.1887	0.8929	17.0000	0.0730	874.0000	89.0000	0.1018	903.0000
901	0.8511	0.6139	0.3602	0.7125	0.1826	0.9002	17.0000	0.0696	858.0000	88.0000	0.1026	867.0000
902	0.8382	0.6263	0.3620	0.7404	0.1860	0.9011	17.0000	0.0547	841.0000	79.0000	0.0939	886.0000
903	0.8337	0.6189	0.3516	0.7355	0.1815	0.8942	17.1000	0.0728	823.0000	86.0000	0.1045	851.0000
904	0.8231	0.6148	0.3490	0.7409	0.1824	0.9020	16.9000	0.0719	874.0000	83.0000	0.0950	878.0000
905	0.8175	0.6185	0.3539	0.7477	0.1859	0.8886	17.1000	0.0719	895.0000	90.0000	0.1006	922.0000
906	0.8126	0.6193	0.3473	0.7180	0.1831	0.8883	17.2000	0.0685	843.0000	92.0000	0.1091	849.0000
907	0.8308	0.6148	0.3487	0.7341	0.1756	0.8929	17.0000	0.0755	797.0000	85.0000	0.1066	841.0000
908	0.8282	0.6115	0.3520	0.7104	0.1888	0.8867	16.9000	0.0697	833.0000	92.0000	0.1104	886.0000
909	0.8253	0.6172	0.3516	0.7388	0.1843	0.8906	17.1000	0.0781	851.0000	89.0000	0.1046	871.0000
910	0.8177	0.6139	0.3508	0.7294	0.1805	0.8874	17.2000	0.0820	837.0000	92.0000	0.1099	881.0000
911	0.8350	0.6139	0.3499	0.7320	0.1865	0.8984	16.9000	0.0721	859.0000	86.0000	0.1001	863.0000
912	0.8177	0.6234	0.3628	0.7510	0.1875	0.8967	17.0000	0.0612	886.0000	84.0000	0.0948	889.0000
913	0.8444	0.6102	0.3453	0.7434	0.1807	0.8873	16.9000	0.0719	832.0000	87.0000	0.1046	855.0000
914	0.8198	0.6168	0.3537	0.7598	0.1823	0.8863	17.0000	0.0658	857.0000	86.0000	0.1004	880.0000
915	0.8294	0.6139	0.3455	0.7377	0.1813	0.8978	17.1000	0.0678	859.0000	80.0000	0.0931	880.0000
916	0.8425	0.6053	0.3402	0.7575	0.1773	0.8943	17.0000	0.0773	792.0000	79.0000	0.0997	814.0000
917	0.8186	0.6139	0.3556	0.7337	0.1856	0.8915	17.0000	0.0738	868.0000	88.0000	0.1014	875.0000
918	0.8165	0.6218	0.3634	0.7575	0.1919	0.8949	17.0000	0.0789	887.0000	89.0000	0.1003	913.0000
919	0.8171	0.6164	0.3546	0.7169	0.1842	0.8933	17.0000	0.0647	900.0000	92.0000	0.1022	914.0000
920	0.8444	0.6065	0.3381	0.7248	0.1714	0.8881	17.0000	0.0786	825.0000	93.0000	0.1127	837.0000
921	0.8070	0.6176	0.3488	0.7492	0.1810	0.8926	17.2000	0.0674	852.0000	84.0000	0.0986	878.0000
922	0.8367	0.6172	0.3597	0.7520	0.1836	0.9051	17.1000	0.0669	864.0000	83.0000	0.0961	890.0000
923	0.8157	0.6267	0.3560	0.7387	0.1930	0.8847	17.0000	0.0767	869.0000	87.0000	0.1001	888.0000
924	0.8148	0.6242	0.3523	0.7289	0.1873	0.8915	17.2000	0.0721	853.0000	89.0000	0.1043	890.0000
925	0.8437	0.6263	0.3512	0.7334	0.1803	0.8922	17.0000	0.0580	865.0000	88.0000	0.1017	884.0000
926	0.8105	0.6082	0.3390	0.7408	0.1782	0.8886	16.9000	0.0787	831.0000	87.0000	0.1047	844.0000
927	0.8161	0.6193	0.3393	0.7639	0.1843	0.8771	17.2000	0.0711	793.0000	92.0000	0.1160	845.0000
928	0.8087	0.6090	0.3458	0.7177	0.1777	0.8866	17.0000	0.0808	827.0000	87.0000	0.1052	839.0000
929	0.8194	0.6164	0.3552	0.7544	0.1857	0.8886	17.2000	0.0658	852.0000	87.0000	0.1021	880.0000
930	0.8066	0.6209	0.3548	0.7311	0.1851	0.8853	16.9000	0.0821	859.0000	94.0000	0.1094	879.0000
931	0.8264	0.6086	0.3530	0.7508	0.1834	0.8848	17.1000	0.0802	830.0000	90.0000	0.1084	872.0000
932	0.7977	0.6135	0.3570	0.7629	0.1856	0.8916	17.0000	0.0698	817.0000	87.0000	0.1065	857.0000
933	0.8164	0.6148	0.3566	0.7663	0.1851	0.8930	16.9000	0.0743	864.0000	84.0000	0.0972	883.0000
934	0.8291	0.6168	0.3520	0.7507	0.1797	0.8786	17.0000	0.0824	831.0000	94.0000	0.1131	845.0000
935	0.8427	0.6201	0.3523	0.7456	0.1823	0.8887	17.0000	0.0755	894.0000	89.0000	0.0996	898.0000
936	0.8378	0.6098	0.3517	0.7430	0.1823	0.9075	16.9000	0.0633	836.0000	79.0000	0.0945	846.0000
937	0.8299	0.6168	0.3507	0.7324	0.1840	0.8845	17.0000	0.0730	862.0000	95.0000	0.1102	869.0000
