accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
872	0.8427	0.6143	0.3439	0.7608	0.0594	0.8902	17.2000	0.0638	852.0000	80.0000	0.0939	880.0000
873	0.8074	0.6172	0.3488	0.7572	0.0596	0.8795	17.1000	0.0712	860.0000	85.0000	0.0988	891.0000
874	0.8200	0.6164	0.3558	0.7485	0.0614	0.8837	17.3000	0.0618	880.0000	89.0000	0.1011	888.0000
875	0.8202	0.6077	0.3470	0.7627	0.0585	0.8860	17.2000	0.0655	862.0000	83.0000	0.0963	896.0000
876	0.7943	0.6230	0.3689	0.7294	0.0646	0.8719	17.0000	0.0855	882.0000	97.0000	0.1100	911.0000
877	0.8399	0.6180	0.3520	0.7320	0.0617	0.8791	17.2000	0.0688	862.0000	95.0000	0.1102	873.0000
878	0.8162	0.6185	0.3596	0.7443	0.0621	0.8857	17.3000	0.0620	857.0000	82.0000	0.0957	875.0000
879	0.8059	0.6135	0.3537	0.7326	0.0639	0.8660	17.1000	0.0874	819.0000	94.0000	0.1148	853.0000
880	0.8197	0.6209	0.3517	0.8020	0.0589	0.8915	17.2000	0.0777	819.0000	77.0000	0.0940	858.0000
881	0.7997	0.6238	0.3586	0.7553	0.0669	0.8816	17.2000	0.0746	821.0000	83.0000	0.1011	833.0000
882	0.8506	0.6123	0.3583	0.7759	0.0598	0.8973	16.9000	0.0597	895.0000	86.0000	0.0961	926.0000
883	0.7964	0.6205	0.3550	0.7453	0.0631	0.8728	17.0000	0.0699	839.0000	88.0000	0.1049	864.0000
884	0.8077	0.6180	0.3630	0.7359	0.0597	0.8785	17.1000	0.0742	910.0000	94.0000	0.1033	947.0000
885	0.8149	0.6143	0.3454	0.7568	0.0609	0.8823	17.0000	0.0785	823.0000	87.0000	0.1057	857.0000
886	0.8048	0.6164	0.3549	0.7663	0.0592	0.8776	16.9000	0.0777	849.0000	85.0000	0.1001	896.0000
887	0.8223	0.6053	0.3475	0.7892	0.0613	0.8893	16.9000	0.0808	804.0000	78.0000	0.0970	834.0000
888	0.8456	0.6189	0.3536	0.7550	0.0632	0.8808	17.2000	0.0687	822.0000	91.0000	0.1107	848.0000
889	0.8209	0.6172	0.3492	0.7530	0.0601	0.8772	17.2000	0.0752	883.0000	94.0000	0.1065	902.0000
890	0.8198	0.6172	0.3558	0.7475	0.0665	0.8799	17.0000	0.0696	812.0000	82.0000	0.1010	836.0000
891	0.8281	0.6267	0.3659	0.7320	0.0627	0.8746	17.1000	0.0819	931.0000	98.0000	0.1053	959.0000
892	0.8188	0.6139	0.3464	0.7503	0.0557	0.8796	17.1000	0.0702	849.0000	83.0000	0.0978	882.0000
893	0.8079	0.6180	0.3501	0.7768	0.0606	0.8773	17.0000	0.0781	866.0000	96.0000	0.1109	877.0000
894	0.7942	0.6102	0.3353	0.7526	0.0572	0.8746	17.1000	0.0672	855.0000	86.0000	0.1006	869.0000
895	0.8017	0.6209	0.3546	0.7523	0.0604	0.8750	17.1000	0.0772	862.0000	91.0000	0.1056	873.0000
896	0.8248	0.6119	0.3562	0.7522	0.0624	0.8740	17.1000	0.0835	854.0000	86.0000	0.1007	858.0000
897	0.8094	0.6201	0.3530	0.7648	0.0635	0.8774	16.9000	0.0867	831.0000	86.0000	0.1035	839.0000
898	0.8282	0.6098	0.3523	0.7758	0.0578	0.8910	17.0000	0.0677	868.0000	84.0000	0.0968	899.0000
899	0.8050	0.6123	0.3502	0.7557	0.0591	0.8678	17.0000	0.0721	870.0000	91.0000	0.1046	893.0000
900	0.8442	0.6135	0.3513	0.7676	0.0622	0.8916	17.1000	0.0755	875.0000	85.0000	0.0971	877.0000
901	0.8333	0.6160	0.3463	0.7671	0.0636	0.8860	17.0000	0.0690	850.0000	84.0000	0.0988	881.0000
902	0.8143	0.6135	0.3508	0.7570	0.0650	0.8799	17.1000	0.0820	867.0000	96.0000	0.1107	870.0000
903	0.8510	0.6152	0.3531	0.7571	0.0634	0.8938	17.1000	0.0559	860.0000	85.0000	0.0988	881.0000
904	0.8380	0.6086	0.3467	0.7590	0.0595	0.8801	17.1000	0.0781	821.0000	90.0000	0.1096	845.0000
905	0.8207	0.6148	0.3599	0.7287	0.0636	0.8773	17.0000	0.0701	862.0000	89.0000	0.1032	888.0000
906	0.8167	0.6143	0.3468	0.7798	0.0654	0.8894	17.1000	0.0790	817.0000	80.0000	0.0979	819.0000
907	0.8215	0.6127	0.3507	0.7605	0.0585	0.8842	17.0000	0.0732	828.0000	82.0000	0.0990	854.0000
908	0.7960	0.6143	0.3488	0.7332	0.0584	0.8762	17.0000	0.0828	877.0000	96.0000	0.1095	899.0000
909	0.8169	0.6156	0.3530	0.7631	0.0600	0.8852	17.2000	0.0674	886.0000	84.0000	0.0948	895.0000
910	0.8487	0.6131	0.3556	0.7886	0.0602	0.8928	17.1000	0.0674	865.0000	81.0000	0.0936	899.0000
911	0.8288	0.6164	0.3542	0.7588	0.0621	0.8749	17.1000	0.0722	846.0000	88.0000	0.1040	866.0000
912	0.8192	0.6148	0.3448	0.7399	0.0615	0.8798	17.0000	0.0658	862.0000	93.0000	0.1079	871.0000
913	0.8221	0.6152	0.3473	0.7690	0.0601	0.8959	17.2000	0.0713	872.0000	88.0000	0.1009	901.0000
