accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
75	0.5131	0.5761	0.3655	2.1577	0.0776	0.7642	35.0000	0.1462	3.3122	161.0000	0.2138	761.0000	0.5020	490.0000	976.0000	0.9461	0.8121
76	0.5027	0.5717	0.3571	2.1215	0.0760	0.7565	35.8750	0.1585	3.3524	169.0000	0.2344	724.0000	0.4826	471.0000	976.0000	0.9337	0.8325
77	0.5461	0.5745	0.3704	2.3342	0.0831	0.7605	35.8750	0.1555	3.3529	166.0000	0.2234	748.0000	0.4877	476.0000	976.0000	0.9358	0.8153
78	0.5212	0.5734	0.3563	2.0311	0.0775	0.7880	34.6250	0.1436	3.2301	164.0000	0.2225	740.0000	0.4764	465.0000	976.0000	0.9405	0.8284
79	0.5517	0.5778	0.3587	2.1273	0.0774	0.7444	35.6250	0.1616	3.4298	172.0000	0.2318	746.0000	0.4744	463.0000	976.0000	0.9290	0.8160
80	0.5334	0.5822	0.3668	2.0536	0.0822	0.7734	35.0000	0.1642	3.3668	158.0000	0.2182	728.0000	0.4693	458.0000	976.0000	0.9451	0.8221
81	0.5268	0.5712	0.3470	1.9349	0.0719	0.7628	35.5000	0.1592	3.2093	164.0000	0.2387	691.0000	0.4652	454.0000	976.0000	0.9262	0.8341
82	0.5406	0.5794	0.3579	2.2045	0.0836	0.7517	35.3750	0.1792	3.3546	164.0000	0.2204	748.0000	0.4969	485.0000	976.0000	0.9452	0.8176
83	0.5198	0.5767	0.3687	2.1525	0.0781	0.7500	36.1250	0.1770	3.2540	176.0000	0.2292	774.0000	0.5082	496.0000	976.0000	0.9289	0.8185
84	0.5312	0.5800	0.3548	2.2396	0.0753	0.7358	36.0000	0.1818	3.3362	179.0000	0.2500	718.0000	0.4816	470.0000	976.0000	0.9220	0.8227
85	0.5426	0.5838	0.3603	2.0716	0.0812	0.7697	35.5000	0.1451	3.5077	163.0000	0.2215	740.0000	0.4682	457.0000	976.0000	0.9392	0.8324
86	0.5539	0.5811	0.3603	2.2116	0.0833	0.7660	34.8750	0.1453	3.3683	169.0000	0.2287	742.0000	0.4590	448.0000	976.0000	0.9313	0.8183
87	0.5736	0.5822	0.3720	2.3208	0.0812	0.7697	35.6250	0.1562	3.3015	172.0000	0.2331	745.0000	0.4928	481.0000	976.0000	0.9289	0.8209
88	0.5565	0.5833	0.3630	2.0482	0.0785	0.7596	35.6250	0.1592	3.5247	162.0000	0.2308	705.0000	0.4570	446.0000	976.0000	0.9348	0.8363
89	0.5491	0.5607	0.3516	2.1184	0.0790	0.7609	34.3750	0.1544	3.3029	154.0000	0.2213	701.0000	0.4600	449.0000	976.0000	0.9444	0.8260
90	0.5314	0.5750	0.3554	2.1427	0.0777	0.7601	35.5000	0.1371	3.3284	167.0000	0.2215	757.0000	0.4836	472.0000	976.0000	0.9406	0.8241
91	0.5503	0.5866	0.3614	2.0924	0.0776	0.7475	34.3750	0.1716	3.3461	166.0000	0.2274	736.0000	0.4559	445.0000	976.0000	0.9334	0.8253
92	0.5489	0.5888	0.3724	2.1291	0.0796	0.7692	35.0000	0.1602	3.2884	164.0000	0.2172	759.0000	0.4867	475.0000	976.0000	0.9341	0.8199
93	0.5361	0.5679	0.3458	2.1739	0.0826	0.7730	35.5000	0.1586	3.2349	155.0000	0.2095	742.0000	0.4580	447.0000	976.0000	0.9434	0.8261
94	0.5791	0.5844	0.3658	2.0793	0.0791	0.7760	35.5000	0.1500	3.3914	160.0000	0.2165	744.0000	0.4529	442.0000	976.0000	0.9422	0.8330
95	0.5184	0.5690	0.3451	2.1056	0.0775	0.7694	35.2500	0.1632	3.3091	157.0000	0.2221	710.0000	0.4641	453.0000	976.0000	0.9366	0.8312
