accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
80	0.3822	0.4716	0.3608	0.8508	0.0093	0.6315	36.0526	0.3275	704.0000	190.0000	0.2699	718.0000
81	0.4072	0.4654	0.3532	0.8536	0.0086	0.6290	36.0526	0.3373	671.0000	187.0000	0.2787	689.0000
82	0.3999	0.4675	0.3568	0.8515	0.0090	0.6291	35.8947	0.3264	673.0000	176.0000	0.2615	687.0000
83	0.3567	0.4609	0.3471	0.8433	0.0080	0.6324	36.0000	0.3191	664.0000	177.0000	0.2666	681.0000
84	0.4066	0.4642	0.3534	0.8426	0.0082	0.6231	36.2105	0.3322	667.0000	185.0000	0.2774	691.0000
85	0.3907	0.4661	0.3568	0.8395	0.0084	0.6426	35.9474	0.3233	698.0000	192.0000	0.2751	723.0000
86	0.3887	0.4691	0.3589	0.8443	0.0082	0.6489	36.3684	0.3127	689.0000	181.0000	0.2627	711.0000
87	0.4022	0.4654	0.3482	0.8519	0.0090	0.6583	35.8947	0.2975	670.0000	165.0000	0.2463	691.0000
88	0.3586	0.4670	0.3530	0.8414	0.0083	0.6169	35.7895	0.3388	666.0000	192.0000	0.2883	683.0000
89	0.4171	0.4751	0.3615	0.8481	0.0093	0.6485	36.0526	0.3168	690.0000	184.0000	0.2667	706.0000
90	0.3655	0.4626	0.3456	0.8445	0.0079	0.6331	36.0000	0.3218	715.0000	185.0000	0.2587	731.0000
91	0.4036	0.4628	0.3424	0.8416	0.0079	0.6199	36.2105	0.3350	692.0000	189.0000	0.2731	711.0000
92	0.4092	0.4695	0.3595	0.8559	0.0092	0.6553	35.8947	0.3050	687.0000	175.0000	0.2547	709.0000
93	0.3806	0.4719	0.3543	0.8320	0.0084	0.6313	35.9474	0.3217	701.0000	199.0000	0.2839	721.0000
94	0.4015	0.4700	0.3519	0.8565	0.0087	0.6596	36.0526	0.2943	680.0000	178.0000	0.2618	701.0000
95	0.3714	0.4723	0.3541	0.8398	0.0085	0.6443	35.9474	0.3187	695.0000	189.0000	0.2719	713.0000
96	0.3901	0.4665	0.3454	0.8572	0.0088	0.6302	36.0000	0.3307	695.0000	181.0000	0.2604	720.0000
97	0.3770	0.4642	0.3505	0.8444	0.0081	0.6233	36.2105	0.3391	703.0000	190.0000	0.2703	722.0000
98	0.4001	0.4675	0.3557	0.8625	0.0088	0.6276	36.0526	0.3429	676.0000	189.0000	0.2796	699.0000
99	0.3853	0.4672	0.3419	0.8545	0.0088	0.6255	36.1053	0.3309	672.0000	183.0000	0.2723	691.0000
100	0.3934	0.4661	0.3498	0.8450	0.0085	0.6470	36.0526	0.3029	694.0000	183.0000	0.2637	710.0000
101	0.3966	0.4637	0.3536	0.8507	0.0084	0.6439	36.3684	0.3183	694.0000	188.0000	0.2709	711.0000
102	0.3984	0.4707	0.3564	0.8482	0.0095	0.6328	35.8421	0.3347	683.0000	184.0000	0.2694	703.0000
103	0.4032	0.4626	0.3477	0.8449	0.0081	0.6333	36.0000	0.3227	638.0000	185.0000	0.2900	661.0000
104	0.4000	0.4663	0.3515	0.8500	0.0086	0.6336	36.0000	0.3267	678.0000	186.0000	0.2743	691.0000
105	0.3835	0.4709	0.3463	0.8450	0.0089	0.6284	36.0000	0.3317	677.0000	185.0000	0.2733	695.0000
106	0.4069	0.4779	0.3742	0.8344	0.0095	0.6272	36.2105	0.3424	721.0000	212.0000	0.2940	739.0000
107	0.3605	0.4663	0.3513	0.8367	0.0084	0.6367	35.9474	0.3225	666.0000	192.0000	0.2883	686.0000
108	0.3800	0.4723	0.3548	0.8357	0.0091	0.6225	36.1053	0.3348	728.0000	201.0000	0.2761	751.0000
109	0.3981	0.4654	0.3510	0.8431	0.0084	0.6238	36.1053	0.3406	680.0000	191.0000	0.2809	702.0000
110	0.4235	0.4661	0.3508	0.8497	0.0088	0.6495	36.1053	0.3048	669.0000	174.0000	0.2601	686.0000
111	0.3872	0.4668	0.3435	0.8501	0.0081	0.6483	36.1053	0.3163	716.0000	184.0000	0.2570	732.0000
112	0.3915	0.4742	0.3630	0.8421	0.0091	0.6402	36.1053	0.3204	706.0000	190.0000	0.2691	730.0000
113	0.3941	0.4672	0.3524	0.8482	0.0087	0.6454	35.6842	0.3116	691.0000	183.0000	0.2648	709.0000
114	0.3884	0.4702	0.3572	0.8454	0.0091	0.6267	35.7368	0.3356	667.0000	187.0000	0.2804	687.0000
115	0.3771	0.4661	0.3448	0.8368	0.0083	0.6226	36.1579	0.3372	724.0000	201.0000	0.2776	746.0000
116	0.3791	0.4709	0.3470	0.8505	0.0087	0.6414	36.1053	0.3259	717.0000	187.0000	0.2608	733.0000
117	0.4016	0.4707	0.3656	0.8378	0.0091	0.6358	35.9474	0.3199	695.0000	193.0000	0.2777	720.0000
118	0.4026	0.4695	0.3534	0.8465	0.0087	0.6535	36.3684	0.3066	712.0000	185.0000	0.2598	724.0000
119	0.3873	0.4668	0.3493	0.8401	0.0083	0.6316	36.2105	0.3232	694.0000	196.0000	0.2824	716.0000
